property_id,survey_number,area_sq_m,owner_name,tax_due,last_paid,assessment_year
TAX-623-4067,RS/565/3A,7101.93,Paandi,0.0,2026-05-01,2026
TAX-623-2588,RS/957/9,24299.22,Aandaal,87971.46,2026-06-20,2026
TAX-623-3028,T-496/6,4192.97,Karuppaswamy,1002.29,2025-11-11,2026
TAX-623-6691,RS/45/6C,14569.82,Palani,4957.95,2026-07-22,2026
TAX-623-1113,,762.23,Kalairasan,270.17,2025-09-09,2026
TAX-623-6569,T-736/8D,8719.96,Manimagalai,0.0,2026-07-29,2026
TAX-623-1404,,5602.88,Saravannan,1979.8,2026-08-09,2026
TAX-623-2674,RS/580/3,4772.95,Periyaswamy,2281.15,2025-12-08,2026
TAX-623-3336,SF/921/8,5192.09,Elangovan,2314.73,2026-09-09,2026
TAX-623-9661,RS/468/5,1132.4,Anbalagan,376.99,2026-02-16,2026
TAX-623-7067,SF/850/7,4361.18,Dhinesh,380.23,2026-06-21,2026
TAX-623-9848,T-774/3C,7985.33,Karuppaswamy,23438.22,2026-05-30,2026
TAX-623-6261,SF/206/3D,16483.44,Mahalaxmi,4324.08,2026-01-19,2026
TAX-623-5252,,3096.82,Rajendiran,632.7,2026-08-15,2026
TAX-623-2007,T-767/5B,2911.68,Manee,1305.69,2025-12-08,2026
TAX-623-9427,T-844/8C,3167.5,Ramaswamy,958.95,2026-06-12,2026
TAX-623-2862,T-159/7C,7654.83,Karuppaswamy,3182.77,2026-06-24,2026
TAX-623-3662,RS/63/7,8341.25,Mahalaxmi,1419.01,2026-07-27,2026
TAX-623-8276,SF/806/6,2868.57,Kalairasan,0.0,2025-09-14,2026
TAX-623-5992,T-3/5D,7830.36,Elangovan,3675.96,2026-05-05,2026
TAX-623-7259,SF/272/1,5353.49,Laxmi,1836.74,2026-01-28,2026
TAX-623-4949,T-227/1C,12417.73,Chinnaswamy,64801.38,2026-07-10,2026
TAX-623-4908,RS/437/2A,6229.49,Shiva,2579.34,2026-03-22,2026
TAX-623-6958,T-562/6A,18849.34,Kannen,0.0,2026-04-19,2026
TAX-623-8784,T-899/9C,12647.6,Kamalaa,5841.83,2026-05-14,2026
TAX-623-4237,RS/438/6C,2381.2,Velusamy,0.0,2026-06-12,2026
TAX-623-8823,T-757/6D,12918.4,Parvati,91804.85,2025-12-22,2026
TAX-623-4238,RS/889/1,6622.6,Thankaraj,0.0,2026-07-26,2026
TAX-623-4181,T-377/2D,5686.27,Saravannan,2497.06,2026-03-31,2026
TAX-623-8891,T-27/5,14733.35,Ramaswamy,4879.53,2025-12-21,2026
TAX-623-3631,SF/146/1,21027.78,Kamachi,10512.1,2025-11-21,2026
TAX-623-3347,T-87/1,16800.96,Baala,3569.9,2026-05-25,2026
TAX-623-2677,RS/221/9,4333.11,Karuppaswamy,15609.19,2025-09-12,2026
TAX-623-5063,T-57/1,6863.15,Maheash,54551.07,2025-11-01,2026
TAX-623-8182,SF/133/7B,15293.73,Raaman,6826.15,2025-12-24,2026
TAX-623-6391,RS/588/7C,15969.0,Pathmaa,0.0,2025-12-20,2026
TAX-623-3976,T-81/7D,6117.82,Ramaswamy,2120.39,2026-06-01,2026
TAX-623-7282,RS/360/3,7843.23,Paandi,1007.09,2025-10-30,2026
TAX-623-8945,T-506/8D,2651.6,Vellu,1275.78,2025-10-29,2026
TAX-623-3729,RS/453/5D,2886.06,Ramaswamy,11443.29,2026-04-05,2026
TAX-623-9540,SF/661/2B,20893.05,Shiva,8990.08,2025-10-03,2026
TAX-623-1328,RS/106/6C,26302.03,Murughan,9778.87,2026-06-25,2026
TAX-623-5351,RS/794/6C,8220.33,Aarumugam,3004.03,2026-02-13,2026
TAX-623-2024,T-873/3,19042.14,Susila,9415.94,2026-07-24,2026
TAX-623-5151,SF/318/9A,11697.58,Velusamy,0.0,2026-09-04,2026
TAX-623-5920,RS/185/4,5210.92,Aarumugam,400.79,2026-01-13,2026
TAX-623-1221,,11359.14,Manimagalai,4008.82,2025-09-19,2026
TAX-623-9667,T-829/3C,31988.78,Venkata,12192.91,2026-06-16,2026
TAX-623-5479,RS/240/9,7628.84,Dhinesh,44691.83,2026-06-22,2026
TAX-623-7575,T-429/3D,31655.56,Tamizhelvan,11187.47,2026-02-02,2026
TAX-623-2917,T-867/9D,1224.35,Sanmugam,0.0,2026-08-19,2026
TAX-623-3380,RS/906/6,17077.98,Periyaswamy,8063.46,2026-08-25,2026
TAX-623-5843,T-666/6D,10958.57,Karuppaswamy,2426.76,2025-08-20,2026
TAX-623-9237,SF/20/5,6724.72,Aiyanar,0.0,2026-01-26,2026
TAX-623-5547,SF/245/7C,9959.26,Aarumugam,13437.84,2026-08-24,2026
TAX-623-1588,SF/681/2B,2700.0,Sundhar,889.07,2025-09-05,2026
TAX-623-9460,RS/45/7,6954.48,Subramanee,497.37,2025-09-15,2026
TAX-623-5303,T-775/6,8461.99,Anbalagan,60364.93,2026-06-18,2026
TAX-623-2680,T-187/3,26055.8,Muthukumaar,325250.89,2025-11-24,2026
TAX-623-9598,T-408/9A,4983.71,Murughan,2422.17,2026-03-22,2026
TAX-623-4981,RS/448/7C,4837.11,Kalairasan,1811.13,2026-03-28,2026
TAX-623-5148,,7212.47,Sanmugam,2897.0,2026-08-19,2026
TAX-623-3893,RS/314/8B,20356.87,Chelvam,0.0,2026-01-03,2026
TAX-623-7085,RS/655/1,11906.93,Jayaram,4580.59,2026-08-08,2026
TAX-623-9088,,6935.51,Sundhar,3447.97,2026-02-17,2026
TAX-623-6057,RS/666/5,13144.06,Sanmugam,6229.08,2025-09-13,2026
TAX-623-2216,T-457/4B,11956.84,Paandi,1514.2,2026-03-02,2026
TAX-623-2048,RS/90/6C,21274.71,Marimutthu,7402.74,2025-12-16,2026
TAX-623-1792,SF/243/8,13421.26,Anbalagan,2151.04,2026-07-19,2026
TAX-623-4439,T-76/8A,47144.94,Subramanee,6961.07,2026-05-23,2026
TAX-623-3313,SF/531/3,23239.03,Venkata,0.0,2025-10-15,2026
TAX-623-2637,SF/651/9,3488.32,Dhinesh,4321.92,2026-01-06,2026
TAX-623-2660,T-738/6D,24489.45,Elangovan,10125.44,2026-05-05,2026
TAX-623-1173,T-427/1A,13422.11,Tamizhelvan,0.0,2025-12-05,2026
TAX-623-7436,T-62/3A,13934.32,Velusamy,2574.62,2026-08-13,2026
TAX-623-9207,RS/999/7,30937.59,Baala,13021.24,2025-09-22,2026
TAX-623-8357,SF/298/7D,35832.24,Karuppaswamy,1943.73,2025-10-17,2026
TAX-623-1972,SF/511/9A,44174.77,Tamizhelvan,0.0,2026-04-01,2026
TAX-623-7656,T-9/2A,11561.85,Palani,3085.81,2025-12-04,2026
TAX-623-6177,RS/567/5,13079.77,Raajaa,3301.69,2026-01-28,2026
TAX-623-8901,T-962/6D,24343.28,Ramaswamy,1313.04,2025-10-15,2026
TAX-623-7412,T-468/3B,37860.87,Kamalaa,16572.63,2026-04-07,2026
TAX-623-6003,T-345/9D,12869.91,Ramaswamy,0.0,2026-06-13,2026
TAX-623-7152,T-316/1B,17135.14,Kalaivaani,860.76,2025-11-24,2026
TAX-623-5959,RS/152/4,7465.47,Shiva,43098.2,2025-12-28,2026
TAX-623-1833,T-794/8D,6438.88,Thankaraj,1090.44,2026-04-24,2026
TAX-623-8432,SF/471/9,40280.65,Aiyanar,131235.72,2026-06-12,2026
TAX-623-3895,SF/965/5D,48886.27,Rajendiran,0.0,2026-08-26,2026
TAX-623-2930,T-557/7A,19880.61,Surase,121133.61,2025-08-29,2026
TAX-623-1117,T-263/8,28818.98,Manee,447240.37,2026-07-01,2026
TAX-623-1849,SF/654/4,27487.55,Jayalaxmi,0.0,2026-06-08,2026
TAX-623-5548,RS/667/4D,10195.18,Sita,4817.14,2025-09-03,2026
TAX-623-3399,RS/807/8,23303.74,Annamaa,4016.32,2026-06-17,2026
TAX-623-1499,T-537/8,90646.39,Annamaa,0.0,2026-05-08,2026
TAX-623-5300,,13177.96,Muthukumaar,6482.33,2026-01-31,2026
TAX-623-6178,RS/89/7C,82787.9,Velusamy,40813.03,2026-04-25,2026
TAX-623-7632,T-242/1C,3767.33,Vaalli,1535.28,2026-01-30,2026
TAX-623-3641,RS/377/4,34693.59,Maheash,7438.98,2026-07-05,2026
TAX-623-1118,T-458/9C,20404.87,Subramanee,10073.38,2025-09-28,2026
TAX-623-9983,SF/697/4C,12258.85,Aroon,3982.26,2026-09-11,2026
TAX-623-8998,RS/741/1A,18186.32,Chinnaswamy,6330.99,2026-07-19,2026
TAX-623-1821,SF/957/8,3065.55,Vellu,729.63,2025-09-08,2026
TAX-623-9880,RS/891/7A,12555.86,Thankaraj,2182.54,2025-12-18,2026
TAX-623-4016,,26201.12,Paandi,0.0,2025-08-24,2026
TAX-623-9096,T-784/2,68312.89,Vadivellu,435433.47,2026-01-12,2026
TAX-623-5351,,12930.01,Malati,92417.59,2025-12-05,2026
TAX-623-5774,T-839/6,10053.03,Dhinesh,15518.44,2026-06-21,2026
TAX-623-3172,,12585.21,Shiva,13015.9,2026-04-01,2026
TAX-623-6252,T-427/7,39408.22,Nagrajan,13617.66,2026-04-06,2026
TAX-623-8126,T-423/7B,16888.07,Raajaa,1199.99,2026-06-25,2026
TAX-623-5788,T-742/4,16508.73,Tejas Selvam,7894.29,2026-03-03,2026
TAX-623-9319,RS/980/1,25233.97,Viraj Selvam,10788.41,2026-07-06,2026
TAX-623-4831,T-368/5,22111.09,Yashasvi Selvam,2745.13,2025-11-27,2026
TAX-623-6756,,38744.73,Avi Selvam,17980.66,2026-04-29,2026
TAX-623-9260,SF/512/9C,3155.79,Rushil Selvam,731.77,2025-08-21,2026
TAX-623-2910,RS/174/3C,10544.29,Oni Selvam,44447.71,2025-11-04,2026
TAX-623-8407,SF/10/4B,6088.82,Thomas Selvam,0.0,2025-08-22,2026
TAX-623-9073,SF/515/7D,806.16,Saumya Selvam,373.62,2026-08-11,2026
TAX-623-8255,RS/274/7,5957.52,Ramaswamy,0.0,2026-03-23,2026
TAX-623-9047,SF/720/3,3476.23,Manee,917.38,2026-08-08,2026
TAX-623-4282,SF/217/8,2588.01,Chelvam,11481.34,2025-10-20,2026
TAX-623-6107,SF/771/7,7677.71,Murughan,0.0,2026-09-11,2026
TAX-623-9397,T-81/9C,9661.96,Vadivellu,3098.34,2026-03-22,2026
TAX-623-4131,RS/503/4,10829.75,Ramaswamy,3426.89,2026-09-14,2026
TAX-623-4082,T-76/2,2620.86,Ramaswamy,190.01,2026-05-20,2026
TAX-623-9708,,3548.78,Chelvam,865.45,2026-02-11,2026
TAX-623-2143,RS/885/7,5050.7,Sita,1763.91,2025-11-15,2026
TAX-623-8301,SF/446/5A,11162.07,Palani,3054.29,2025-12-26,2026
TAX-623-3312,,3559.61,Karuppaswamy,1654.29,2026-05-31,2026
TAX-623-9069,T-503/4,3845.5,Kalaivaani,0.0,2025-12-20,2026
TAX-623-4498,T-787/9,2046.99,Elangovan,421.65,2026-06-03,2026
TAX-623-1645,RS/690/8,1401.06,Vellu,6270.87,2025-09-23,2026
TAX-623-3290,T-429/9,10083.44,Vellu,56274.95,2025-12-09,2026
TAX-623-2288,T-681/6,13035.85,Manee,0.0,2026-08-25,2026
TAX-623-7813,T-765/9B,5299.28,Gopee,0.0,2026-05-02,2026
TAX-623-8960,RS/26/8,14491.93,Elangovan,5304.13,2026-04-08,2026
TAX-623-5156,RS/100/8C,6929.27,Jayaram,2067.8,2026-09-05,2026
TAX-623-3109,SF/529/3B,3037.92,Kalaivaani,922.02,2026-07-04,2026
TAX-623-5015,,5781.09,Venkata,0.0,2026-04-15,2026
TAX-623-7238,SF/592/2D,16357.16,Karthick,2728.16,2025-11-12,2026
TAX-623-7341,,4417.59,Karuppaswamy,689.73,2026-03-07,2026
TAX-623-7927,SF/689/3,17161.83,Maheash,2026.16,2026-07-12,2026
TAX-623-4588,T-711/3B,517.23,Thankaraj,183.1,2026-07-06,2026
TAX-623-3710,,10759.05,Jayaram,940.87,2025-12-07,2026
TAX-623-5471,RS/34/5,5503.26,Laxmi,0.0,2025-10-09,2026
TAX-623-5771,,3824.57,Subramanee,616.31,2026-05-11,2026
TAX-623-2572,RS/270/6D,4789.1,Palani,0.0,2025-08-27,2026
TAX-623-6003,,1069.83,Elangovan,0.0,2026-04-12,2026
TAX-623-7207,RS/587/5D,3922.3,Baala,383.51,2026-07-13,2026
TAX-623-2767,T-130/3,7526.41,Thankaraj,71868.84,2025-11-02,2026
TAX-623-9738,T-814/2A,14553.81,Raajaa,5790.94,2025-09-24,2026
TAX-623-5679,T-96/8C,2855.11,Baala,0.0,2026-06-28,2026
TAX-623-3810,RS/331/5,2334.18,Periyaswamy,792.5,2026-03-10,2026
TAX-623-7440,SF/452/8,3835.68,Shiva,0.0,2026-08-05,2026
TAX-623-1624,SF/54/7C,10199.13,Maheash,0.0,2026-01-29,2026
TAX-623-4752,,6257.51,Raaman,411.81,2025-11-04,2026
TAX-623-9080,,3447.71,Saravannan,0.0,2026-07-13,2026
TAX-623-8745,T-767/3A,6595.89,Annamaa,1517.49,2026-02-17,2026
TAX-623-4963,SF/284/2,4995.66,Paandi,1730.01,2026-03-17,2026
TAX-623-7438,T-56/4A,10016.79,Maheash,1984.8,2026-07-08,2026
TAX-623-7511,,3663.07,Raaman,313.8,2025-09-22,2026
TAX-623-9792,T-514/7A,9863.61,Annamaa,3868.04,2026-08-29,2026
TAX-623-5213,SF/550/6A,6629.18,Maheash,3250.04,2026-07-09,2026
TAX-623-6402,SF/60/4,1698.63,Periyaswamy,114.3,2026-01-22,2026
TAX-623-2006,SF/719/1,4936.38,Venkata,1788.89,2026-05-07,2026
TAX-623-8301,SF/344/7,3264.36,Sanmugam,815.75,2025-12-28,2026
TAX-623-7436,T-171/6,1524.9,Chinnaswamy,0.0,2025-10-28,2026
TAX-623-2881,RS/393/3,8021.81,Chinnaswamy,1864.74,2025-10-17,2026
TAX-623-3416,SF/184/4D,8816.9,Thankaraj,1059.62,2026-08-06,2026
TAX-623-9457,T-804/5C,6342.67,Maheash,2838.22,2026-03-20,2026
TAX-623-7445,SF/155/1A,1470.9,Aroon,614.75,2025-11-08,2026
TAX-623-4574,SF/430/8,2562.36,Kalaivaani,765.33,2026-03-23,2026
TAX-623-8394,RS/998/2B,7171.14,Aarumugam,558.12,2026-06-06,2026
TAX-623-9577,SF/299/5D,12277.8,Periyaswamy,205460.27,2026-01-05,2026
TAX-623-9199,SF/160/2,2502.17,Surase,7503.49,2026-05-15,2026
TAX-623-7799,SF/93/3D,2667.96,Marimutthu,299.23,2025-12-20,2026
TAX-623-2389,SF/992/6A,1301.96,Baala,2063.94,2026-09-16,2026
TAX-623-9290,SF/134/4D,1243.25,Vaalli,452.48,2026-02-28,2026
TAX-623-3243,SF/925/8D,7328.22,Vellu,0.0,2025-09-21,2026
TAX-623-5662,RS/842/7A,11228.67,Ponnamaal,189811.3,2026-07-30,2026
TAX-623-6956,SF/629/4C,3585.27,Surase,1034.65,2025-12-15,2026
TAX-623-1181,,8043.35,Kannen,1571.38,2025-12-16,2026
TAX-623-8596,RS/398/5,7156.45,Jayaram,24547.55,2026-06-08,2026
TAX-623-9963,SF/673/4,2282.53,Aiyanar,1108.53,2025-09-07,2026
TAX-623-9089,SF/181/4B,7396.42,Tamizhelvan,33679.15,2025-12-04,2026
TAX-623-3792,SF/577/4D,14885.36,Jayaram,5959.62,2026-02-25,2026
TAX-623-2918,SF/21/9A,3279.27,Manee,850.9,2026-05-24,2026
TAX-623-7040,T-722/3D,14722.86,Baala,3191.68,2025-12-05,2026
TAX-623-3907,,551.67,Velusamy,116.14,2026-04-04,2026
TAX-623-2806,,6590.12,Subramanee,2492.89,2026-06-01,2026
TAX-623-7843,RS/944/4C,4558.69,Tamizhelvan,996.14,2025-09-13,2026
TAX-623-1550,T-747/6A,3816.1,Baala,880.23,2025-12-07,2026
TAX-623-3844,T-430/3A,4105.75,Raaman,24160.34,2026-07-13,2026
TAX-623-4284,SF/167/8,825.42,Tamizhelvan,87.29,2026-09-01,2026
TAX-623-2187,,3757.98,Kalaivaani,1733.54,2025-09-28,2026
TAX-623-5958,RS/714/9C,4241.94,Sundhar,1575.44,2025-12-07,2026
TAX-623-9378,RS/158/1,9840.61,Vaalli,60323.2,2025-09-02,2026
TAX-623-3235,T-299/2A,2109.2,Chelvam,17970.74,2026-03-30,2026
TAX-623-3199,SF/380/7,1927.65,Manee,648.07,2025-09-07,2026
TAX-623-4343,T-684/2,3837.47,Tamizhelvan,1470.19,2026-02-20,2026
TAX-623-9252,RS/587/4A,8396.88,Shiva,3883.26,2026-06-23,2026
TAX-623-3405,T-151/2D,4212.94,Aarumugam,0.0,2026-03-26,2026
TAX-623-4636,RS/207/3D,3049.32,Murughan,175.4,2026-04-16,2026
TAX-623-9897,SF/806/9D,6329.45,Sita,29239.14,2026-03-14,2026
TAX-623-1750,,4647.53,Chelvam,600.46,2025-12-09,2026
TAX-623-1156,RS/413/3B,10292.59,Balasubramaniam,4655.94,2025-12-22,2026
TAX-623-3459,RS/838/5,16924.9,Palani,1276.97,2026-07-18,2026
TAX-623-3242,RS/793/6,42062.1,Kannen,294641.18,2026-02-23,2026
TAX-623-2553,T-889/6D,25156.47,Thankaraj,2431.29,2026-02-18,2026
TAX-623-3653,SF/256/1A,4632.41,Aarumugam,1366.07,2025-12-14,2026
TAX-623-7799,T-32/4,29493.68,Velusamy,2528.51,2025-09-15,2026
TAX-623-7377,T-851/2,15598.75,Jayaram,0.0,2026-08-24,2026
TAX-623-9469,SF/886/1A,9594.53,Saravannan,0.0,2026-06-15,2026
TAX-623-6303,T-282/7A,31994.94,Maheash,7405.18,2026-05-02,2026
TAX-623-2643,SF/524/6B,32822.31,Ramaswamy,13971.65,2025-09-08,2026
TAX-623-7414,RS/268/5,46785.12,Tamizhelvi,9440.85,2026-05-07,2026
TAX-623-4182,RS/303/5A,10967.9,Balasubramaniam,0.0,2025-12-02,2026
TAX-623-7777,,16542.49,Gopee,2819.37,2026-04-06,2026
TAX-623-9407,SF/763/5A,25438.36,Venkata,201818.51,2026-01-23,2026
TAX-623-3134,T-595/2A,40655.73,Aiyanar,15425.78,2026-05-21,2026
TAX-623-6204,,13204.92,Shiva,0.0,2025-11-07,2026
TAX-623-2588,RS/647/3,19199.57,Venkata,0.0,2025-12-26,2026
TAX-623-7930,T-440/7A,8263.11,Kumaar,1396.94,2026-02-08,2026
TAX-623-7379,T-196/1C,8734.13,Raaman,858.65,2025-11-08,2026
TAX-623-9762,RS/972/5A,38256.62,Chelvam,6641.74,2026-09-07,2026
TAX-623-3932,RS/20/4,58601.31,Gopee,9786.09,2026-03-19,2026
TAX-623-6276,SF/385/5D,17948.31,Sanmugam,128022.25,2026-05-13,2026
TAX-623-5007,RS/486/3,43605.67,Sundhar,0.0,2025-09-25,2026
TAX-623-2726,T-737/2,26897.9,Surase,9016.01,2026-01-10,2026
TAX-623-6278,T-420/5,10679.83,Aarumugam,4265.07,2025-10-16,2026
TAX-623-3959,T-77/2,28499.06,Raaman,2517.9,2026-08-28,2026
TAX-623-5057,RS/369/6A,63935.51,Vasanta,0.0,2026-03-27,2026
TAX-623-3957,RS/979/5C,19761.3,Kalairasan,80984.78,2026-01-20,2026
TAX-623-9866,RS/820/7C,68729.98,Surase,20569.0,2026-07-09,2026
TAX-623-9098,RS/186/7D,5029.8,Kumaar,1785.44,2025-10-14,2026
TAX-623-9461,,36909.97,Kannen,206343.09,2026-03-17,2026
TAX-623-1712,T-634/2A,21770.78,Gopee,123341.04,2026-05-05,2026
TAX-623-6191,T-870/8D,13144.03,Subramanee,4201.38,2026-07-05,2026
TAX-623-4802,T-659/7A,21035.4,Surase,58103.98,2026-07-21,2026
TAX-623-2400,RS/764/1,4004.31,Kanagammal,1796.36,2025-12-26,2026
TAX-623-3123,RS/974/6,14965.27,Ramaswamy,2959.24,2025-09-25,2026
TAX-623-2511,RS/734/8,29283.79,Balasubramaniam,0.0,2026-03-23,2026
TAX-623-9800,T-109/1,66968.8,Dhinesh,22873.11,2026-02-16,2026
TAX-623-9052,RS/221/8D,14881.02,Aroon,102513.33,2026-04-14,2026
TAX-623-9660,RS/675/9,10275.51,Elangovan,4207.31,2026-04-25,2026
TAX-623-3019,SF/709/3C,11402.83,Elangovan,83553.23,2025-12-05,2026
TAX-623-5611,T-781/4,41074.44,Nagrajan,305843.43,2025-09-26,2026
TAX-623-4885,RS/729/9C,27423.28,Jayalaxmi,11820.79,2026-08-21,2026
TAX-623-3873,T-331/2D,16052.65,Kannen,20090.06,2026-04-13,2026
TAX-623-1740,RS/149/1C,29531.58,Vadivellu,6148.74,2026-04-08,2026
TAX-623-8959,T-889/9D,22659.55,Raajaa,138770.84,2026-04-11,2026
TAX-623-5902,RS/397/7D,41986.36,Dhinesh,11008.31,2026-05-28,2026
TAX-623-6401,RS/850/4C,9287.82,Ramaswamy,2992.18,2026-04-01,2026
TAX-623-8093,T-77/3,20939.31,Aroon,62663.21,2025-09-27,2026
TAX-623-8978,,14346.46,Kumaar,3118.87,2026-05-20,2026
TAX-623-7977,RS/503/9,2676.11,Anbalagan,0.0,2026-03-02,2026
TAX-623-8945,RS/301/4D,11027.56,Chinnaswamy,1034.62,2026-06-29,2026
TAX-623-8821,SF/982/1C,8090.25,Paandi,1248.24,2025-10-05,2026
TAX-623-2183,RS/527/9A,6608.57,Dhinesh,16293.8,2026-08-04,2026
TAX-623-8066,T-547/1C,17978.6,Meenachi,112998.67,2025-10-01,2026
TAX-623-1978,T-703/3,23564.86,Chelvam,167451.69,2025-12-22,2026
TAX-623-3807,,21166.92,Subramanee,4101.72,2026-04-30,2026
TAX-623-1785,T-65/1C,4474.88,Vadivellu,1521.12,2025-09-26,2026
TAX-623-3439,,9273.11,Balasubramaniam,3476.34,2026-02-16,2026
TAX-623-6493,SF/306/6,12565.05,Vadivellu,1162.72,2026-08-31,2026
