doc_number,survey_number,registration_date,area_sqft,seller,buyer,sale_value
SRO/TN/81045,T-198/6,21/12/2025,26974.23,Gopal Pradhan,Mahesh,224138.62
SRO/TN/93854,T-612/5,18/06/2022,42459.39,Darpan Narayan,Suresh,82830554.28
SRO/TN/73160,T-300/3C,07/05/2026,67654.66,Nirja Pandya,Kannan,442533.48
SRO/TN/99863,RS/964/8,04/06/2026,106975.08,Charan Mani,Marimuthu,0.0
SRO/TN/82040,SF/255/2B,28/12/2024,36344.95,Indira Chawla,Kamakshi,401634.61
SRO/TN/86437,T-440/5B,26/12/2024,54366.41,Mohammed Subramaniam,Marimutthu,74322029.54
SRO/TN/33176,T-482/5,31/10/2022,24730.81,Hritik Palla,Karthik,55838977.25
SRO/TN/39625,T-678/4A,23/02/2023,22517.33,Ishwar Mallick,Rajendran,20678690.66
SRO/TN/25577,T-767/5A,26/12/2024,92497.21,Pushti Bal,Siva,1157313.6
SRO/TN/49587,T-602/1D,25/11/2022,161516.95,Ayush Gole,Karuppasamy,140703048.3
SRO/TN/95210,RS/993/2A,15/02/2022,51602.35,Dayamai Nori,Kalaiarasan,719240.5
SRO/TN/60774,RS/259/6,25/03/2026,121682.01,Abeer Golla,Karuppasamy,375856267.86
SRO/TN/20762,SF/274/9,08/06/2026,75466.67,Nandini Boase,Vadivel,1345627.9
SRO/TN/12488,SF/319/9,02/09/2022,31661.69,Azaan Chand,Balasubramanian,28776535.53
SRO/TN/80429,RS/565/3A,30/04/2025,76444.46,Krisha Saini,Pandi,0.0
SRO/TN/53006,RS/957/9,02/05/2024,200589.15,Harita Dugar,Andal,232531549.06
SRO/TN/19002,T-496/6,09/03/2024,45132.71,Devika Nair,Karuppasamy,537013.35
SRO/TN/21173,RS/45/6C,26/05/2025,188093.45,Charles Dugal,Pazhani,2205896.75
SRO/TN/27219,RS/103/9A,26/10/2021,8204.57,Chandran Bumb,Kalaiarasan,94748.36
SRO/TN/38489,T-736/8D,03/12/2024,93860.78,Saanvi Samra,Manimegalai,0.0
SRO/TN/18239,SF/455/3C,22/09/2022,60308.84,Riya Sachdeva,Saravanan,311282.09
SRO/TN/79349,RS/580/3,16/09/2023,51375.56,Tanveer Vala,Periyasamy,385335.57
SRO/TN/25462,SF/921/8,18/12/2022,55887.14,Hemani Sani,Ilangovan,790235.82
SRO/TN/92006,RS/468/5,28/10/2022,12189.04,Bhanumati Sur,Anbazhagan,167904.24
SRO/TN/72499,SF/850/7,25/01/2025,46943.31,Chakradev Kannan,Dinesh,1580870.88
SRO/TN/95750,T-774/3C,20/04/2025,85953.29,Christopher Amble,Karuppasamy,135659072.54
SRO/TN/28796,SF/206/3D,23/05/2024,177426.1,Charvi Kakar,Mahalakshmi,902109.02
SRO/TN/75192,SF/773/4D,20/04/2026,33333.86,Aadhya Mann,Rajendiran,269064.47
SRO/TN/86552,T-767/5B,22/08/2024,31341.03,Jagdish Amble,Mani,303490.57
SRO/TN/42524,T-844/8C,26/04/2026,34094.65,Qushi Gill,Ramasamy,730262.18
SRO/TN/29400,T-159/7C,01/07/2022,82395.82,Lajita Walia,Karuppaswamy,416346.91
SRO/TN/21494,RS/63/7,04/02/2023,76066.11,Xiti Pandya,Mahalakshmi,955839.49
SRO/TN/19626,SF/806/6,14/07/2026,30877.0,Mekhala Basak,Kalaiarasan,0.0
SRO/TN/68448,T-3/5D,18/04/2022,84285.21,Anirudh Sharaf,Ilangovan,645407.94
SRO/TN/92408,SF/272/1,17/08/2026,57624.43,Dhriti Sanghvi,Lakshmi,1071349.76
SRO/TN/37042,T-227/1C,10/02/2024,133663.2,Omisha Mann,Chinnaswamy,124639013.33
SRO/TN/50686,RS/437/2A,23/11/2021,67053.61,Nidhi Bail,Siva,1490120.18
SRO/TN/57903,T-562/6A,03/03/2023,202892.41,Onveer Sharma,Kannan,0.0
SRO/TN/29085,T-899/9C,01/01/2023,136137.5,Gaurang Sarkar,Kamala,1594306.8
SRO/TN/26977,RS/438/6C,09/02/2026,25631.0,Yagnesh Sarin,Veluchami,0.0
SRO/TN/58962,T-757/6D,07/03/2026,139052.37,Farhan Randhawa,Parvathi,112104913.99
SRO/TN/85814,RS/889/1,27/12/2022,71285.0,Harinakshi Kant,Thangaraj,0.0
SRO/TN/51038,T-377/2D,02/10/2024,61206.44,Om Bose,Saravanan,575174.03
SRO/TN/33937,T-27/5,23/01/2023,158588.31,Yashvi Hari,Ramaswamy,818632.04
SRO/TN/77658,SF/146/1,06/06/2024,226340.92,Indali Divan,Kamachi,3752969.97
SRO/TN/96796,T-87/1,20/06/2023,180843.85,Harshil Dhingra,Bala,1302400.81
SRO/TN/80603,RS/221/9,14/05/2024,46641.16,Rudra Ghose,Karuppasamy,132205197.09
SRO/TN/36013,T-57/1,29/06/2024,73874.26,Faqid Goel,Mahesh,41765116.56
SRO/TN/11777,SF/133/7B,18/04/2024,164620.18,Ucchal Sen,Raaman,1527272.93
SRO/TN/52719,RS/588/7C,24/06/2023,238174.11,Diya Dora,Padma,0.0
SRO/TN/32524,T-81/7D,12/06/2024,65851.6,Ekansh Singh,Ramasamy,1302565.58
SRO/TN/47911,RS/360/3,10/08/2025,84423.74,Chavvi Maharaj,Paandi,1688714.01
SRO/TN/79669,T-506/8D,11/05/2022,28541.56,Indira Tripathi,Vellu,306338.47
SRO/TN/12391,RS/453/5D,13/04/2026,31065.26,Dayita Shenoy,Ramasamy,52113129.26
SRO/TN/10252,SF/661/2B,05/02/2025,224890.7,Baljiwan Bhandari,Siva,2564533.8
SRO/TN/93214,RS/106/6C,01/05/2026,283112.42,Bhavini Bose,Murugan,4455029.57
SRO/TN/38417,RS/794/6C,18/07/2024,88482.81,Yashica Rajagopalan,Arumugam,1569010.41
SRO/TN/87166,T-873/3,07/04/2025,204967.69,Benjamin Sengupta,Sushila,2084175.62
SRO/TN/58752,SF/318/9A,11/09/2022,125911.58,Ekanta Soni,Velusamy,0.0
SRO/TN/34026,RS/185/4,26/08/2024,56089.82,David Seshadri,Aarumugam,1182087.09
SRO/TN/18368,T-856/9,22/05/2022,122268.65,Hemal Chad,Manimegalai,1463064.36
SRO/TN/49318,T-829/3C,26/04/2022,344324.03,Balveer Kota,Venkat,2073394.04
SRO/TN/91365,RS/240/9,14/04/2022,82116.07,Reva Viswanathan,Dhinesh,104589428.33
SRO/TN/53991,T-429/3D,29/10/2023,340737.28,Januja Pradhan,Tamilselvan,3995877.99
SRO/TN/13843,T-867/9D,27/01/2026,13178.78,Lila Rege,Shanmugam,0.0
SRO/TN/59338,T-867/9D,13/02/2026,13178.78,Shanmugam,Charles Natt,0.0
SRO/TN/37411,RS/906/6,07/06/2025,183825.67,Forum Chandra,Periyasamy,4026024.38
SRO/TN/39708,T-666/6D,11/02/2026,117956.95,Bhanumati Krishnan,Karuppasamy,1868932.78
SRO/TN/53929,SF/20/5,25/08/2026,72384.21,Gauri Bumb,Aiyanar,0.0
SRO/TN/65506,SF/245/7C,21/12/2025,107200.48,Inaya Mukherjee,Aarumugam,245609231.3
SRO/TN/76964,SF/245/7C,22/01/2026,107200.48,Aarumugam,Kai Chad,272054578.56
SRO/TN/92191,SF/681/2B,06/05/2024,29062.53,Krisha Narasimhan,Sundar,454760.06
SRO/TN/73070,RS/45/7,25/10/2021,74857.33,Girik Sampath,Subramani,528289.75
SRO/TN/16643,T-775/6,29/05/2023,91084.01,Andrew Patil,Anbazhagan,132380944.35
SRO/TN/98115,T-187/3,02/01/2024,280462.03,Pranit Kala,Muthukumar,2023321477.83
SRO/TN/66297,T-408/9A,03/12/2024,53644.16,Vedika Handa,Murugan,1229128.03
SRO/TN/73296,RS/448/7C,28/12/2025,52066.17,Laksh Dubey,Kalaiarasan,704746.44
SRO/TN/19715,RS/821/2C,01/10/2023,77634.31,Chakrika Chaudhuri,Sanmugam,532673.83
SRO/TN/25265,RS/314/8B,24/12/2022,219119.31,Gayathri Deep,Selvam,0.0
SRO/TN/21894,RS/655/1,27/03/2024,128165.0,Mitesh Gaba,Jeyaram,846684.04
SRO/TN/67293,SF/798/6,16/04/2026,74653.14,Noah Sarma,Sundar,1648969.22
SRO/TN/60963,RS/666/5,18/06/2024,141481.35,Nirja Patla,Shanmugam,2166624.44
SRO/TN/83525,T-457/4B,26/03/2025,107525.33,Sachi Mane,Pandi,669753.15
SRO/TN/82332,RS/90/6C,04/09/2022,228998.85,Vivaan Walla,Marimuthu,1190360.04
SRO/TN/39865,SF/243/8,19/07/2025,144465.1,Dayamai Singh,Anbazhagan,778516.08
SRO/TN/12598,T-76/8A,28/11/2024,507463.42,Jhalak Sastry,Subramani,5518471.02
SRO/TN/10904,SF/531/3,09/05/2026,250142.6,Baghyawati Raja,Venkat,0.0
SRO/TN/57603,SF/651/9,08/04/2025,37547.93,Neel Iyengar,Dinesh,59932366.19
SRO/TN/56618,T-738/6D,20/12/2022,263601.99,Zashil Ben,Ilangovan,4062289.91
SRO/TN/33908,T-738/6D,28/01/2023,263601.99,Ilangovan,Kamya Chauhan,5118294.7
SRO/TN/99440,T-427/1A,17/06/2025,144474.25,Bhavani Chacko,Tamilselvan,0.0
SRO/TN/95030,T-62/3A,12/04/2026,149987.63,Anjali Sengupta,Veluchami,4385447.63
SRO/TN/25880,RS/999/7,05/11/2021,333009.13,Rajeshri Chand,Bala,6697635.5
SRO/TN/70209,SF/298/7D,06/03/2026,385694.65,Shravya Palla,Karuppasamy,7167494.3
SRO/TN/46654,SF/511/9A,18/08/2025,475492.81,Oeshi Bera,Tamilselvan,0.0
SRO/TN/23958,T-9/2A,02/02/2025,124450.6,Yadavi Prakash,Pazhani,1427669.81
SRO/TN/29362,T-9/2A,17/03/2025,124450.6,Pazhani,Libni Bumb,2036126.16
SRO/TN/75800,RS/567/5,27/07/2025,140789.34,Udarsh Bala,Raja,4471570.85
SRO/TN/69167,T-962/6D,14/10/2024,262028.63,Hardik Nayak,Ramasamy,5986912.69
SRO/TN/53780,T-468/3B,04/01/2024,407530.62,Laksh Barad,Kamala,4465527.32
SRO/TN/47826,T-468/3B,25/02/2024,407530.62,Kamala,Urmi Dewan,6010164.07
SRO/TN/77102,T-345/9D,09/01/2025,138530.42,Saumya Ahluwalia,Ramasamy,0.0
SRO/TN/54787,T-345/9D,06/02/2025,138530.42,Ramasamy,Anirudh Kunda,0.0
SRO/TN/18314,T-316/1B,20/05/2024,184440.93,Mason Wable,Kalaivani,2943614.25
SRO/TN/91058,RS/152/4,19/05/2022,80357.57,Indrajit Mani,Siva,47416628.05
SRO/TN/26302,T-794/8D,20/05/2024,69307.46,Charvi Dara,Thangaraj,1110281.54
SRO/TN/39112,SF/471/9,25/11/2024,433576.89,William Saini,Ayyanar,249506069.24
SRO/TN/44754,SF/965/5D,05/01/2025,526206.92,Dev Choudhry,Rajendran,0.0
SRO/TN/91561,T-557/7A,10/06/2023,213992.9,Amol Varma,Suresh,231950573.94
SRO/TN/98470,T-263/8,27/03/2024,438856.26,Maanas Manne,Mani,2929861689.16
SRO/TN/48005,SF/654/4,05/09/2023,295873.24,Aarav Pandit,Jayalakshmi,0.0
SRO/TN/92957,RS/667/4D,08/01/2024,109739.9,Omaja Grover,Seetha,1674435.89
SRO/TN/59760,RS/807/8,26/06/2026,250839.13,Jalsa Bir,Annamma,4957115.42
SRO/TN/54745,T-537/8,27/01/2023,732017.32,Madhavi Singhal,Annamma,0.0
SRO/TN/67064,SF/15/6D,22/08/2022,141846.24,Lila Prakash,Muthukumaar,1817319.83
SRO/TN/26156,RS/89/7C,25/10/2023,763553.82,Amol Parikh,Veluchami,4705238.29
SRO/TN/13603,T-242/1C,06/09/2024,40551.16,Hemani Khosla,Valli,196889.19
SRO/TN/84114,RS/377/4,20/02/2023,373438.33,Gaurangi Deol,Mahesh,9959824.36
SRO/TN/37394,T-458/9C,18/03/2026,219635.98,Indira Nigam,Subramani,4108574.35
SRO/TN/42336,SF/697/4C,13/03/2024,168727.25,Ucchal Srinivas,Arun,3409732.63
SRO/TN/72293,RS/741/1A,22/02/2022,195755.73,Krishna Bhatnagar,Chinnasamy,2471289.5
SRO/TN/41844,SF/957/8,08/05/2026,42583.17,Balhaar Memon,Velu,814976.93
SRO/TN/35113,RS/891/7A,02/07/2024,135150.02,Caleb Iyengar,Thangaraj,1390431.31
SRO/TN/34841,RS/542/3C,06/09/2023,282026.24,Diya Mukherjee,Pandi,0.0
SRO/TN/78939,T-784/2,25/09/2021,735313.12,Urvashi Kulkarni,Vadivel,1137221260.41
SRO/TN/12804,SF/251/1A,07/10/2022,139177.33,Rayaan Mangal,Malathi,119726088.56
SRO/TN/94225,T-839/6,10/05/2023,108209.81,Champak Narula,Dinesh,210825600.43
SRO/TN/72373,T-934/3C,29/04/2023,135465.94,Jeet Pillai,Siva,89694341.21
SRO/TN/53703,T-427/7,15/11/2024,424186.14,Mugdha Sarraf,Nagarajan,2670746.17
SRO/TN/99044,T-427/7,14/01/2025,424186.14,Nagarajan,Harinakshi Grover,3358877.96
SRO/TN/13751,T-423/7B,30/04/2026,255139.74,Widisha Pillai,Raja,6690037.63
SRO/TN/70121,T-742/4,25/08/2026,139076.58,Fitan Samra,Tejas Selvam,1526635.25
SRO/TN/47343,RS/980/1,01/09/2026,271615.93,Qushi Gole,Viraj Selvam,5601602.75
SRO/TN/23964,T-368/5,14/08/2026,238001.56,Ekani Chauhan,Yashasvi Selvam,1607029.94
SRO/TN/96636,SF/760/3,30/08/2026,417044.4,Falak Merchant,Avi Selvam,9160067.47
SRO/TN/36594,SF/512/9C,14/08/2026,33968.61,Sanaya Sandhu,Rushil Selvam,486397.95
SRO/TN/12066,RS/174/3C,21/08/2026,113497.68,Sachi Panchal,Oni Selvam,135581543.94
SRO/TN/68390,SF/10/4B,26/08/2026,65539.45,Brijesh Pandit,Thomas Selvam,0.0
SRO/TN/65010,SF/515/7D,05/09/2026,8677.43,Anvi Bhandari,Saumya Selvam,185083.22
SRO/TN/39539,RS/274/7,27/01/2022,64126.15,Nidra Patla,Ramasamy,0.0
SRO/TN/10123,SF/720/3,04/02/2023,37417.79,Azaan Dhar,Mani,532544.95
SRO/TN/39864,SF/217/8,06/06/2026,27857.08,Bakhshi Date,Selvam,38508661.83
SRO/TN/64830,SF/771/7,24/05/2023,82642.1,Warinder Peri,Murugan,0.0
SRO/TN/30704,T-81/9C,19/10/2022,104000.37,Leela Bali,Vadivellu,574761.31
SRO/TN/29000,RS/503/4,07/03/2025,116570.35,Shivani Prabhakar,Ramasamy,2364255.31
SRO/TN/18479,T-76/2,17/04/2025,28210.67,Sachi Bose,Ramasamy,469162.85
SRO/TN/68206,SF/136/2,02/03/2025,38198.71,Jeevika Rao,Chelvam,2173389.5
SRO/TN/55335,RS/885/7,21/04/2023,54365.23,Arya Krish,Seetha,767625.71
SRO/TN/56499,SF/446/5A,22/04/2026,120147.41,Atharv Grewal,Pazhani,1764910.61
SRO/TN/45504,RS/824/6A,03/03/2023,38315.29,Zarna Ram,Karuppasamy,1842481.98
SRO/TN/15864,T-503/4,27/10/2022,41392.58,Adweta Lad,Kalaivani,0.0
SRO/TN/55003,T-787/9,16/09/2025,22033.6,Tanish Mangal,Ilangovan,346428.77
SRO/TN/52963,RS/690/8,20/03/2022,15080.87,Ryan Das,Velu,9325945.36
SRO/TN/50701,T-429/9,04/11/2023,108537.14,Ethan Seth,Velu,179962377.39
SRO/TN/95506,T-681/6,14/04/2025,140316.59,Sai Chahal,Mani,0.0
SRO/TN/73020,T-765/9B,05/06/2025,57040.92,Idika Bhattacharyya,Gopee,0.0
SRO/TN/16763,RS/26/8,31/10/2025,117046.22,Charita Dugar,Ilangovan,2693019.41
SRO/TN/35321,RS/100/8C,01/10/2024,74585.97,Janaki Trivedi,Jayaram,2850693.93
SRO/TN/52251,SF/529/3B,23/07/2022,32699.87,Jairaj Iyer,Kalaivani,636770.06
SRO/TN/95900,RS/406/1C,31/12/2022,62227.07,Warjas Tak,Venkat,0.0
SRO/TN/69554,SF/592/2D,19/09/2022,176066.83,Jalsa Pillay,Karthik,3729472.98
SRO/TN/81005,RS/612/7B,08/02/2023,47550.5,Kai Chadha,Karuppasamy,485296.38
SRO/TN/35101,SF/689/3,20/05/2023,184728.22,Dayamai Rao,Mahesh,6283769.83
SRO/TN/32330,T-711/3B,01/02/2023,5567.41,Nirja Rout,Thangaraj,62702.62
SRO/TN/13866,T-669/8A,11/07/2023,90215.15,Jeremiah Nadig,Jayaram,2517817.46
SRO/TN/33916,RS/34/5,16/06/2025,59236.54,Shivani Shukla,Lakshmi,0.0
SRO/TN/37226,RS/556/1D,16/01/2022,41167.29,Kabir Gopal,Subramani,684328.31
SRO/TN/89557,RS/270/6D,01/07/2026,51549.39,Rachita Thakkar,Palani,0.0
SRO/TN/14562,T-143/4D,09/10/2025,11515.54,Jeet Vasa,Ilangovan,0.0
SRO/TN/59702,RS/587/5D,07/01/2025,42219.24,Daksha Gala,Bala,439701.01
SRO/TN/81426,T-130/3,03/02/2025,81013.52,Ekantika Kar,Thangaraj,342004566.51
SRO/TN/88273,T-814/2A,01/04/2026,156655.76,Zilmil Mander,Raja,3469237.05
SRO/TN/26192,T-96/8C,29/10/2021,30732.12,Zashil Hegde,Bala,0.0
SRO/TN/71780,RS/331/5,30/11/2023,25124.88,Jeremiah Mitter,Periyasamy,242149.81
SRO/TN/49729,SF/452/8,04/11/2021,41286.88,Yadavi Ganguly,Siva,0.0
SRO/TN/13384,SF/54/7C,18/01/2023,109782.42,Onveer Nazareth,Mahesh,0.0
SRO/TN/15608,RS/10/1C,08/11/2022,67355.21,Ayush Bumb,Raman,1426628.51
SRO/TN/55639,RS/141/7D,17/08/2024,37110.81,Alka Kade,Saravanan,0.0
SRO/TN/21798,T-767/3A,19/06/2025,70997.5,Azaan Tank,Annamma,377850.17
SRO/TN/48907,SF/284/2,22/11/2025,53772.78,Chasmum Subramanian,Pandi,978032.85
SRO/TN/52138,T-56/4A,30/12/2024,107819.73,Nidra Mishra,Maheash,625842.46
SRO/TN/63157,SF/397/7,05/12/2024,39428.92,Elijah Bhasin,Raman,870587.51
SRO/TN/96334,T-514/7A,16/02/2023,106170.91,Ria Sagar,Annamaa,1923078.19
SRO/TN/68720,SF/550/6A,02/07/2025,71355.83,Ucchal Jani,Mahesh,368149.46
SRO/TN/31686,SF/60/4,14/12/2021,14383.58,Maanas Munshi,Periyasamy,162396.39
SRO/TN/86597,SF/719/1,24/09/2022,53134.7,Hemani Rastogi,Venkat,1159063.06
SRO/TN/97457,SF/344/7,10/01/2026,35137.24,Kamala Varma,Shanmugam,489500.53
SRO/TN/39081,T-171/6,03/11/2023,23294.8,Eiravati Khurana,Chinnasamy,0.0
SRO/TN/54345,RS/393/3,25/01/2024,86345.96,Jason Loke,Chinnaswamy,1775878.08
SRO/TN/79053,SF/184/4D,03/12/2022,94904.23,Yug Dhaliwal,Thangaraj,1625910.91
SRO/TN/46927,T-804/5C,13/01/2025,68271.87,Chandresh Mannan,Mahesh,1364998.0
SRO/TN/62433,T-804/5C,19/02/2025,68271.87,Mahesh,Omya Kothari,1870985.4
SRO/TN/71360,SF/155/1A,02/08/2023,15832.62,Falak Munshi,Arun,147631.63
SRO/TN/48375,SF/430/8,07/09/2023,27580.99,Nathaniel Tara,Kalaivani,442345.07
SRO/TN/42356,RS/998/2B,04/08/2024,61411.06,Wishi Morar,Arumugam,3085953.83
SRO/TN/27058,SF/299/5D,25/12/2025,132157.01,Arin Chana,Periyasamy,675107387.81
SRO/TN/86176,SF/160/2,28/05/2023,26933.11,Yashasvi Shankar,Suresh,15094844.73
SRO/TN/21928,SF/93/3D,28/03/2025,28717.65,Tanveer Pandit,Marimuthu,380206.82
SRO/TN/53670,SF/992/6A,23/09/2022,14014.17,Chandresh Manda,Bala,25939656.96
SRO/TN/58923,SF/134/4D,01/05/2026,10286.63,Upma Mangal,Vaalli,115932.31
SRO/TN/62839,SF/925/8D,22/04/2026,78880.23,Hritik Sankar,Velu,0.0
SRO/TN/61916,RS/842/7A,05/06/2023,120864.28,Aishani Pau,Ponnammal,778680071.39
SRO/TN/51086,SF/629/4C,13/11/2025,38591.49,Jasmit Bath,Surase,305031.83
SRO/TN/54693,T-256/9D,23/01/2023,86577.82,Charan Hayer,Kannen,948549.64
SRO/TN/64093,RS/398/5,14/11/2023,77031.31,Bhavya Borah,Jayaram,67354389.76
SRO/TN/41148,SF/673/4,23/02/2026,24568.92,Yamini Seshadri,Aiyanar,354949.53
SRO/TN/39280,SF/181/4B,19/12/2021,79614.33,Jagat Dave,Tamilselvan,95344667.12
SRO/TN/72435,SF/577/4D,08/07/2023,160224.53,Meera Prakash,Jeyaram,1414958.06
SRO/TN/98102,SF/21/9A,18/04/2023,35297.73,Jasmit Dhawan,Mani,301927.77
SRO/TN/88531,T-722/3D,29/10/2025,158475.39,Yashodhara Ratti,Bala,2015196.91
SRO/TN/52203,RS/331/3,29/10/2024,5938.12,Chakradev Barad,Veluchami,126321.59
SRO/TN/39430,RS/229/3A,14/04/2023,70935.39,Gauri Som,Subramani,967178.85
SRO/TN/85348,RS/944/4C,17/04/2023,49069.28,Manthan Varma,Tamilselvan,664065.78
SRO/TN/41770,T-747/6A,13/12/2022,41076.12,Falak Nagar,Bala,441946.39
SRO/TN/41827,T-430/3A,22/03/2024,44193.88,Maya Mistry,Raman,41617543.07
SRO/TN/47023,SF/167/8,02/11/2022,8884.74,Yashica Upadhyay,Tamizhelvan,463819.25
SRO/TN/15953,SF/750/2B,04/08/2024,40450.52,Chandani Soman,Kalaivani,472648.35
SRO/TN/87810,RS/714/9C,03/08/2025,45659.82,Jyoti Narula,Sundar,595635.13
SRO/TN/19596,RS/158/1,16/12/2021,105923.34,Omaja Morar,Valli,128234851.06
SRO/TN/83563,T-299/2A,27/09/2025,22703.22,Urvi Lanka,Selvam,151227362.59
SRO/TN/67521,SF/380/7,25/06/2024,20749.03,Charan Srinivasan,Mani,343887.88
SRO/TN/16178,T-684/2,22/06/2022,41306.14,Lajita Divan,Tamilselvan,498108.23
SRO/TN/84757,RS/587/4A,31/10/2022,90383.18,Azad Choudhary,Siva,569841.89
SRO/TN/91099,T-151/2D,17/11/2022,56424.15,Anirudh Sastry,Arumugam,0.0
