permit_number,plot_number,latitude,longitude,approved_area_sq_m,permit_date,owner,status
BP-623-1765,RS-842-7A,8.7098612,77.7443956,6185.16,2025-11-30,Ponnammal,approved
BP-623-8513,T-430-3A,8.7221533,77.7443654,2101.88,2024-05-12,Raman,approved
BP-623-7951,RS-158-1,8.7249906,77.7443217,3994.79,2024-06-18,Valli,approved
BP-623-3413,RS-979-5C,8.7170181,77.7459639,10775.13,2024-04-12,Kalaiarasan,approved
BP-623-1366,SF-709-3C,8.7268604,77.7460516,5645.21,2025-12-14,Ilangovan,approved
BP-623-8292,T-781-4,8.7276971,77.7460114,17264.69,2025-01-31,Nagarajan,approved
BP-623-6947,T-889-9D,8.730777,77.7460443,10805.89,2025-10-23,Raja,rejected_but_built
BP-623-9224,RS-527-9A,8.6996034,77.747997,3068.07,2025-04-02,Dinesh,approved
BP-623-4976,T-703-3,8.7015194,77.7480191,10011.06,2025-05-26,Selvam,approved
BP-623-5465,SF-531-6A,8.7130801,77.7479708,6471.75,2025-05-24,Ayyanar,approved
BP-623-2519,RS-611-2,8.7201822,77.7480345,10677.51,2026-04-25,Kumar,approved
BP-623-2278,RS-604-2A,8.7221958,77.748005,5034.44,2024-07-29,Ayyanar,approved
BP-623-4495,T-496-5,8.7235136,77.7479388,6697.1,2025-06-08,Ayyanar,approved
BP-623-2545,T-357-6D,8.7287055,77.7480274,5642.06,2025-03-28,Rajeswari,approved
BP-623-9640,T-56-1D,8.7056512,77.7489482,3362.89,2025-09-24,Selvam,approved
BP-623-6262,RS-537-9,8.7074035,77.74898,823.44,2024-06-16,Anbazhagan,approved
BP-623-6166,SF-472-2B,8.7157624,77.7489864,4892.48,2025-11-27,Pazhani,approved
BP-623-4323,RS-195-9C,8.72219,77.7489572,2075.05,2024-12-31,Shanmugam,approved
BP-623-7538,SF-198-9C,8.7248826,77.7489905,6792.4,2025-11-22,Malathi,approved
BP-623-4017,T-391-2D,8.7292876,77.7489701,1305.56,2025-06-24,Tamilselvan,approved
BP-623-7665,SF-787-5,8.7156773,77.7497834,15858.45,2024-12-31,Subramani,approved
BP-623-9741,RS-574-4,8.7201446,77.7497821,7248.96,2024-08-14,Thangaraj,approved
BP-623-7133,SF-342-8,8.7261398,77.7498299,3165.22,2025-07-18,Saraswathi,approved
BP-623-7169,SF-198-5,8.7265147,77.7498028,2965.95,2026-06-13,Anbazhagan,approved
BP-623-2937,T-527-2,8.7268491,77.7498363,2237.79,2025-11-24,Pandi,approved
BP-623-8881,SF-215-3,8.7216154,77.751148,1299.92,2025-02-28,Raja,approved
BP-623-3017,RS-712-2C,8.7268394,77.7511568,1446.27,2024-10-24,Mani,approved
BP-623-7714,T-19-1A,8.7300433,77.7511537,2348.24,2026-04-24,Karuppasamy,approved
BP-623-2942,T-761-2C,8.6991901,77.7518391,2742.59,2025-12-30,Dinesh,approved
BP-623-1099,SF-411-4C,8.7120507,77.7518788,6886.24,2026-04-22,Marimuthu,approved
BP-623-1608,T-786-3A,8.723554,77.7519082,3782.44,2026-02-17,Karthik,approved
BP-623-5696,SF-853-5C,8.7131249,77.7523899,627.87,2025-12-03,Manimegalai,unauthorized
BP-623-1349,RS-587-1A,8.7136571,77.752389,407.78,2024-09-28,Chinnasamy,approved
BP-623-7379,RS-466-2,8.7156744,77.7523848,1652.81,2025-09-28,Arumugam,approved
BP-623-1474,RS-348-9,8.7221831,77.7523774,758.68,2026-02-20,Bala,approved
BP-623-7481,T-317-9C,8.7225612,77.7523796,155.27,2026-02-01,Sundar,approved
BP-623-1902,SF-807-2B,8.6955543,77.7525521,443.44,2025-12-01,Karuppasamy,approved
BP-623-2379,T-9-2A,8.6965228,77.7525602,1928.28,2026-01-06,Nagarajan,approved
BP-623-4237,RS-583-9A,8.6980647,77.7525674,136.9,2025-11-03,Vasantha,approved
BP-623-6148,RS-865-7,8.6991792,77.7525585,538.88,2025-12-18,Vadivel,approved
BP-623-6613,SF-582-1,8.7229086,77.7525732,642.93,2025-10-09,Thangaraj,approved
BP-623-5027,T-896-8,8.7210284,77.7528978,1903.17,2025-01-26,Chinnasamy,approved
BP-623-7308,T-67-6A,8.7225728,77.7528911,404.52,2025-05-29,Saravanan,approved
BP-623-9718,SF-349-4C,8.7229008,77.7528916,1236.08,2025-10-17,Periyasamy,approved
BP-623-3053,SF-386-7C,8.7292915,77.752893,867.18,2025-07-03,Tamilselvan,approved
BP-623-5360,SF-705-2C,8.698556,77.7533174,1831.4,2025-05-08,Tamilselvan,approved
BP-623-4531,T-586-5B,8.7035739,77.7532762,708.77,2025-02-11,Karuppasamy,approved
BP-623-7312,RS-534-4,8.7056419,77.7533294,3566.96,2025-05-30,Pazhani,rejected_but_built
BP-623-7015,T-846-1A,8.7082827,77.7532843,2106.85,2024-09-20,Mahesh,approved
BP-623-2594,RS-79-6,8.6976083,77.7539496,4067.52,2026-04-03,Pandi,approved
BP-623-3565,RS-835-2,8.6991776,77.7539466,2886.77,2025-12-15,Kalaiarasan,approved
BP-623-1382,RS-563-8B,8.7002847,77.7539698,6208.46,2025-07-01,Kalaiarasan,approved
BP-623-9562,T-831-4C,8.7014802,77.7538919,7712.6,2024-09-30,Thangaraj,approved
BP-623-7214,RS-489-1,8.7083475,77.753938,7072.01,2024-06-06,Selvam,approved
BP-623-9545,RS-205-7,8.7183885,77.7539181,10556.03,2026-03-12,Selvam,approved
BP-623-2124,RS-374-8,8.7221791,77.7545832,1279.28,2024-05-02,Vadivel,approved
BP-623-9150,SF-441-7B,8.7119577,77.7549278,3181.99,2025-02-24,Nagarajan,approved
BP-623-5808,SF-455-5,8.7142306,77.754876,1254.67,2024-08-02,Seetha,rejected_but_built
BP-623-4027,SF-419-7B,8.7317754,77.7548793,1802.27,2025-03-01,Pazhani,approved
BP-623-1800,T-897-3B,8.7083757,77.756245,16823.68,2025-10-26,Mahesh,approved
BP-623-5604,SF-223-6A,8.6991908,77.7577184,1858.39,2025-07-16,Sundar,approved
BP-623-8256,SF-936-6,8.7039986,77.7577007,2282.26,2025-07-20,Selvam,approved
BP-623-8350,T-409-8D,8.704633,77.7577319,2176.23,2026-05-22,Ilangovan,approved
BP-623-5240,RS-766-4,8.7184468,77.758405,11969.58,2025-07-06,Bala,rejected_but_built
BP-623-8912,RS-931-5B,8.7300234,77.7584191,4189.96,2025-12-31,Pandi,approved
BP-623-7391,SF-915-7,8.7046494,77.7589318,1014.11,2025-05-24,Kumar,approved
BP-623-1965,SF-865-8D,8.7130846,77.7589428,1286.54,2024-04-10,Veluchami,rejected_but_built
BP-623-5934,RS-4-1D,8.7065298,77.7592727,854.61,2026-04-03,Meenakshi,approved
BP-623-8918,T-788-3C,8.7119614,77.7593175,3888.46,2024-10-29,Suresh,approved
BP-623-6763,RS-274-2A,8.7221944,77.7593084,1594.6,2026-03-18,Rajendran,approved
BP-623-3509,SF-160-8C,8.7228543,77.7592901,1309.58,2024-04-30,Raman,unauthorized
BP-623-1291,T-289-5B,8.7076323,77.7599978,1078.45,2025-06-09,Raman,approved
BP-623-7107,T-418-2,8.7225567,77.7599676,507.81,2025-02-11,Veluchami,approved
BP-623-7453,T-202-7D,8.7070197,77.7611197,2664.24,2025-09-07,Arumugam,approved
BP-623-7454,T-807-5D,8.7098741,77.7611537,9696.83,2024-11-15,Chinnasamy,approved
BP-623-3911,SF-102-3C,8.7120486,77.761161,6589.75,2025-08-15,Gopi,approved
BP-623-9496,RS-812-7,8.7170149,77.7611229,3759.79,2024-12-31,Anbazhagan,approved
BP-623-1894,SF-646-1A,8.7261427,77.7611228,2259.28,2024-07-25,Kalaiarasan,approved
BP-623-2049,T-805-2D,8.729332,77.7611403,2186.94,2026-02-13,Raman,approved
BP-623-7138,RS-475-3,8.7307568,77.7611515,4510.06,2025-07-16,Periyasamy,approved
BP-623-1354,SF-705-5D,8.6955353,77.7618588,757.21,2024-05-23,Mahesh,approved
BP-623-8214,SF-516-4B,8.7036164,77.7618656,1026.19,2026-01-23,Karuppasamy,approved
BP-623-4034,T-446-8,8.7156308,77.7618662,6380.42,2025-04-13,Bala,approved
BP-623-6916,RS-387-2,8.7169964,77.7618645,1606.67,2024-09-11,Anbazhagan,approved
BP-623-4950,T-182-9A,8.7200863,77.7618788,2963.16,2025-05-05,Rajendran,approved
BP-623-1171,RS-851-9C,8.7002317,77.7623955,4166.77,2025-12-20,Anbazhagan,approved
BP-623-9105,SF-418-1B,8.703599,77.7623843,1480.06,2025-07-25,Periyasamy,approved
BP-623-1119,SF-185-4C,8.7221442,77.7623862,2281.95,2025-11-07,Seetha,approved
BP-623-6361,SF-349-7,8.7317504,77.7623746,4394.37,2025-09-08,Veluchami,approved
BP-623-4532,RS-663-8A,8.7056341,77.764871,26268.06,2026-01-24,Chinnasamy,approved
BP-623-2276,SF-69-5,8.7074118,77.7647084,4510.9,2026-03-16,Pandi,approved
BP-623-4066,T-685-2,8.7130888,77.7648731,14834.02,2025-02-15,Arun,approved
BP-623-8857,SF-475-7B,8.713692,77.764801,8956.68,2025-06-27,Periyasamy,approved
BP-623-7402,RS-141-5A,8.720101,77.7648081,24746.18,2026-05-10,Chinnasamy,approved
BP-623-8829,T-623-6,8.7317662,77.7647074,29337.01,2026-05-08,Selvam,approved
BP-623-4124,SF-107-2,8.6965034,77.7667661,7916.36,2025-02-24,Kalaivani,approved
BP-623-8287,RS-235-8,8.6985484,77.7668043,2969.88,2026-05-10,Kumar,approved
BP-623-8689,SF-144-4,8.7002638,77.7667753,5557.88,2024-09-16,Arun,approved
BP-623-8980,T-686-6,8.7070115,77.7667775,2038.46,2024-12-15,Kalaiarasan,approved
BP-623-1213,RS-136-4D,8.7083634,77.7667908,5081.79,2026-02-23,Nagarajan,approved
BP-623-7074,RS-189-5,8.7098796,77.7673517,4812.64,2026-01-26,Nagarajan,approved
BP-623-7607,T-932-8C,8.7183109,77.7672949,3258.01,2024-10-22,Arumugam,approved
BP-623-5536,T-768-9,8.7265016,77.7673251,615.79,2024-09-10,Sushila,approved
BP-623-4902,SF-116-8,8.7035786,77.7682093,2281.76,2026-04-04,Chinnasamy,approved
BP-623-8841,RS-235-8C,8.7183665,77.7681785,23072.06,2025-03-14,Chinnasamy,approved
BP-623-9479,SF-991-1D,8.6964818,77.7690335,2369.23,2025-12-30,Suresh,approved
BP-623-3239,T-788-2D,8.7130209,77.7690265,1520.47,2026-01-09,Pazhani,approved
BP-623-4834,SF-662-9,8.7228866,77.769066,909.34,2026-06-16,Murugan,approved
BP-623-4735,SF-891-7B,8.7248684,77.7690625,3861.83,2025-09-17,Dinesh,unauthorized
BP-623-3909,RS-251-6B,8.7264759,77.7690266,430.63,2025-06-19,Karuppasamy,approved
BP-623-2049,SF-651-9B,8.6985742,77.7696242,4620.83,2025-01-31,Kanakammal,approved
BP-623-7278,RS-434-5,8.7027698,77.7696393,7356.12,2026-02-23,Balasubramanian,approved
BP-623-9672,T-755-8,8.7074114,77.7696212,1248.52,2024-08-17,Vadivel,approved
BP-623-5588,SF-438-6C,8.7110037,77.7695942,2602.74,2025-01-12,Kalaiarasan,approved
BP-623-7133,SF-853-6,8.7264942,77.7696194,1541.86,2024-04-11,Seetha,approved
BP-623-4010,T-156-4,8.7293121,77.7701284,337.66,2026-05-02,Meenakshi,approved
BP-623-7281,RS-770-6,8.7014884,77.7703099,1880.77,2024-11-30,Jeyaram,approved
BP-623-2004,T-308-7D,8.702763,77.7703168,1250.46,2025-12-03,Nagarajan,approved
BP-623-1887,T-482-3,8.7169867,77.7703828,874.97,2026-04-25,Thangaraj,approved
BP-623-4764,SF-928-8A,8.726121,77.7703184,542.45,2025-05-23,Kanakammal,approved
BP-623-7047,RS-446-6D,8.7268525,77.7703633,530.02,2025-02-01,Nagarajan,approved
BP-623-7657,RS-228-6C,8.7039687,77.770916,3165.75,2026-06-22,Kumar,approved
BP-623-9088,T-798-3,8.7225584,77.7709501,624.58,2026-01-27,Veluchami,approved
BP-623-5189,RS-9-2B,8.7228895,77.7709734,2813.81,2025-01-09,Mani,approved
BP-623-5300,SF-529-7C,8.6985381,77.771991,5776.97,2025-06-18,Suresh,approved
BP-623-4247,SF-396-7C,8.7136503,77.7719989,3289.71,2025-01-19,Velu,rejected_but_built
BP-623-9775,RS-922-1,8.721604,77.7720434,3472.87,2024-09-27,Arumugam,approved
BP-623-2542,T-199-8C,8.6985674,77.7730648,5157.6,2025-02-04,Kumar,approved
BP-623-2231,RS-744-1D,8.709808,77.7731037,10029.82,2025-10-09,Bala,approved
BP-623-2391,T-279-7D,8.7110094,77.7730787,3538.15,2025-06-16,Mani,approved
BP-623-6290,T-351-3A,8.7300138,77.7730949,4920.03,2024-10-01,Mani,approved
BP-623-6287,T-888-2,8.7013935,77.7738725,6405.57,2025-06-06,Vadivel,approved
BP-623-8224,RS-830-5,8.7110175,77.7738848,2223.21,2026-06-12,Marimuthu,approved
BP-623-6263,T-317-2B,8.7195099,77.7738114,330.25,2024-05-30,Vadivel,approved
BP-623-1895,T-554-1D,8.7249318,77.7738945,8896.92,2024-11-08,Rajendran,approved
BP-623-7061,RS-503-6A,8.7293528,77.7738877,2169.73,2025-05-27,Balasubramanian,approved
BP-623-2415,SF-980-4,8.7110225,77.7744868,2064.22,2026-05-16,Subramani,approved
