permit_number,plot_number,latitude,longitude,approved_area_sq_m,permit_date,owner,status
BP-401-7212,Sec-22-F-68,30.7313748,76.7769868,195.41,2025-02-25,Sukhpreet,approved
BP-401-2235,22-A-69,30.7314607,76.7769902,86.62,2025-06-20,Surinder,approved
BP-401-1548,S22-D-71,30.731639,76.7769866,299.69,2025-04-09,Kamaljeet,approved
BP-401-7411,22-V-80,30.7330766,76.7769906,191.64,2025-08-13,Jaswinder,approved
BP-401-3526,22-S-82,30.7336807,76.7769886,252.14,2025-03-01,Karan,approved
BP-401-3056,22-D-90,30.7351518,76.7769861,321.42,2026-04-02,Amrik,approved
BP-401-1239,22-S-96,30.7357764,76.7769867,119.55,2024-04-06,Harjeet,approved
BP-401-2641,22-G-103,30.7316375,76.777211,136.2,2026-01-24,Sukhwinder,approved
BP-401-8929,22-S-104,30.7318466,76.7772094,182.19,2024-08-10,Raj,unauthorized
BP-401-7218,22-D-105,30.7319661,76.7772112,14.94,2025-08-13,Gurpreet,approved
BP-401-5941,S22-W-109,30.7328534,76.7772093,30.76,2026-01-24,Satinder,approved
BP-401-5664,22-R-110,30.7328891,76.7772106,26.29,2024-07-02,Sukhwinder,rejected_but_built
BP-401-9516,Sec-22-G-111,30.732953,76.7772109,81.5,2025-09-17,Sandeep,approved
BP-401-5196,S22-V-117,30.7340432,76.777211,179.81,2024-07-12,Harleen,approved
BP-401-1596,Sec-22-V-120,30.7346554,76.7772107,65.4,2026-02-27,Amrik,approved
BP-401-8483,22-K-121,30.7348806,76.7772105,239.74,2025-01-28,Satinder,approved
BP-401-2385,S22-G-123,30.7352885,76.7772096,66.98,2025-04-26,Raj,approved
BP-401-1391,S22-S-124,30.735371,76.777211,52.05,2026-02-18,Paramjeet,approved
BP-401-9392,Sec-22-N-128,30.7357762,76.777211,46.62,2026-03-13,Aman,approved
BP-401-3869,S22-T-136,30.7318485,76.7773046,47.01,2026-01-02,Manjeet,approved
BP-401-1933,Sec-22-N-138,30.7321675,76.7773047,75.89,2025-02-09,Sukhwinder,approved
BP-401-3600,Sec-22-T-142,30.73289,76.7773057,7.76,2024-09-20,Raj,approved
BP-401-7884,22-D-144,30.7330767,76.7773042,34.12,2024-12-19,Ashok,approved
BP-401-8516,22-S-146,30.7336827,76.7773048,32.84,2025-09-10,Balveer,approved
BP-401-5176,Sec-22-A-148,30.7338801,76.777304,9.27,2025-12-27,Harjeet,approved
BP-401-9847,22-L-152,30.734655,76.777304,17.56,2024-11-09,Davinder,approved
BP-401-4701,22-C-154,30.7351513,76.7773048,46.59,2024-08-17,Ravinder,approved
BP-401-1717,S22-A-162,30.7310366,76.7773507,66.12,2024-07-18,Rajinder,approved
BP-401-1742,Sec-22-N-165,30.7314617,76.7773475,16.34,2024-07-24,Vikram,approved
BP-401-4032,22-M-166,30.7315158,76.7773482,9.75,2025-07-10,Suresh,approved
BP-401-4425,22-H-168,30.7318437,76.7773506,66.25,2025-09-07,Ranjeet,approved
BP-401-2809,Sec-22-Q-172,30.7326781,76.7773531,71.66,2024-07-06,Balveer,approved
BP-401-5385,S22-B-174,30.7328908,76.7773504,10.97,2025-03-04,Satinder,approved
BP-401-5963,S22-G-176,30.7330737,76.7773501,42.64,2025-05-22,Aman,approved
BP-401-1729,S22-V-181,30.7340517,76.7773498,87.38,2024-05-28,Davinder,approved
BP-401-5411,22-W-182,30.7342077,76.7773547,15.83,2026-01-29,Navjot,approved
BP-401-7630,22-V-183,30.734423,76.7773529,100.24,2024-11-29,Ravneet,approved
BP-401-9959,22-A-189,30.7354449,76.7773506,22.63,2025-01-28,Jaswinder,approved
BP-401-5084,Sec-22-Q-191,30.7356856,76.7773505,28.62,2025-08-08,Jagrati Murugan,approved
BP-401-3503,S22-D-193,30.7308542,76.7775864,253.68,2025-04-16,Aishani Murugan,approved
BP-401-9450,22-N-194,30.7310455,76.7775802,540.27,2024-10-07,Caleb Murugan,approved
BP-401-9233,22-J-199,30.7316401,76.7775811,432.33,2024-04-25,Ranjeet,approved
BP-401-7821,22-H-201,30.7319707,76.7775744,57.06,2025-10-12,Mohan,unauthorized
BP-401-9632,Sec-22-V-202,30.7321687,76.7775879,774.99,2024-06-10,Balveer,approved
BP-401-9464,Sec-22-R-204,30.73268,76.7775842,569.3,2025-10-20,Amrik,approved
BP-401-4078,22-G-212,30.7338848,76.7775785,132.86,2024-08-29,Harjeet,approved
BP-401-8723,Sec-22-L-215,30.7344249,76.777585,898.75,2026-01-06,Ashok,approved
BP-401-8278,Sec-22-P-216,30.7346537,76.7775895,170.61,2024-10-17,Mandeep,approved
BP-401-1592,Sec-22-V-218,30.7351495,76.7775809,444.86,2026-06-02,Vikram,approved
BP-401-7891,22-K-225,30.7308538,76.7778149,38.06,2025-04-14,Ashok,approved
BP-401-2668,22-G-227,30.731247,76.7778149,38.75,2025-12-16,Jagtar,approved
BP-401-9840,S22-B-228,30.7313748,76.7778148,27.5,2025-10-23,Jaswinder,unauthorized
BP-401-1926,22-S-240,30.7330803,76.7778158,51.73,2025-12-18,Jagdish,approved
BP-401-3848,S22-H-244,30.7338818,76.7778135,13.16,2025-05-30,Manpreet,approved
BP-401-3478,S22-S-245,30.734044,76.7778157,64.14,2025-03-01,Gurmeet,approved
BP-401-6540,22-N-247,30.7344186,76.777815,115.56,2025-01-13,Paramjeet,approved
BP-401-3847,Sec-22-P-249,30.7348796,76.7778153,110.47,2026-03-03,Jagtar,approved
BP-401-3726,22-T-251,30.7352895,76.7778147,25.61,2026-02-11,Simran,approved
BP-401-7267,Sec-22-V-261,30.7314591,76.777863,15.58,2026-05-28,Arjun,approved
BP-401-6499,22-A-263,30.7316437,76.777863,50.22,2026-04-11,Kuldeep,approved
BP-401-8148,22-S-267,30.7324323,76.7778661,35.49,2024-08-11,Daljeet,approved
BP-401-4687,22-L-270,30.7328908,76.7778616,6.99,2026-01-19,Rajesh,approved
BP-401-4164,Sec-22-B-275,30.7338145,76.7778631,18.28,2026-05-26,Anita,approved
BP-401-7747,Sec-22-D-276,30.7338825,76.7778656,10.09,2025-02-14,Sukhpreet,rejected_but_built
BP-401-1454,22-P-278,30.7342075,76.7778638,9.85,2025-02-16,Sukhwinder,approved
BP-401-9866,Sec-22-S-281,30.7348784,76.7778617,78.48,2024-10-27,Prakash,approved
BP-401-8792,S22-E-282,30.7351512,76.7778605,36.5,2026-04-30,Raj,approved
BP-401-9873,Sec-22-C-289,30.7308578,76.7780205,159.15,2026-04-24,Satinder,approved
BP-401-5313,S22-M-298,30.7321692,76.7780245,581.82,2025-03-21,Jagdish,approved
BP-401-5026,S22-S-299,30.7324364,76.7780245,218.07,2026-04-25,Jagdish,approved
BP-401-3082,22-W-301,30.7328534,76.7780182,52.33,2026-02-02,Harpreet,approved
BP-401-8445,Sec-22-V-304,30.7330791,76.7780212,270.58,2025-08-22,Paramjeet,approved
BP-401-8175,22-E-307,30.7338153,76.7780214,110.61,2024-05-09,Harsimran,approved
BP-401-8294,S22-W-309,30.7340445,76.7780258,380.36,2024-09-22,Gurmeet,approved
BP-401-4836,22-Q-313,30.7348825,76.7780187,597.89,2024-09-12,Jaswinder,approved
BP-401-6509,22-J-315,30.7352883,76.7780179,109.11,2025-11-22,Jagdish,approved
BP-401-7690,Sec-22-L-322,30.7310458,76.7782279,175.25,2026-06-01,Arjun,approved
BP-401-4159,22-B-328,30.7318484,76.7782286,190.42,2025-10-21,Gurpreet,approved
BP-401-6435,S22-C-334,30.7328899,76.7782295,30.64,2024-05-06,Ranjeet,approved
BP-401-5726,Sec-22-D-337,30.7333744,76.7782308,279.25,2026-05-22,Suresh,approved
BP-401-1806,22-L-339,30.7338147,76.7782306,59.42,2026-06-14,Gurmeet,approved
BP-401-6468,Sec-22-E-342,30.7342082,76.778234,41.79,2025-09-29,Jaswinder,approved
BP-401-8002,Sec-22-K-346,30.7351547,76.7782313,147.83,2024-08-05,Suresh,approved
BP-401-3778,S22-H-348,30.7353696,76.7782275,58.75,2026-06-16,Jaswinder,approved
BP-401-4372,S22-U-352,30.7357756,76.7782294,43.15,2026-06-14,Amrik,approved
BP-401-2869,S22-U-360,30.7318501,76.7783286,56.57,2024-05-30,Ravinder,approved
BP-401-3650,S22-P-361,30.7319699,76.7783256,7.33,2024-10-17,Surinder,approved
BP-401-6443,S22-S-365,30.7328536,76.7783268,9.05,2025-06-02,Ranjeet,approved
BP-401-8825,22-V-372,30.7338837,76.7783288,13.36,2025-11-23,Manjeet,approved
BP-401-3965,22-F-374,30.7342075,76.7783252,12.62,2024-06-11,Suresh,approved
BP-401-7042,Sec-22-P-379,30.7352888,76.7783287,31.63,2025-07-18,Rajesh,approved
BP-401-6354,Sec-22-B-380,30.7353699,76.7783287,16.95,2026-04-20,Aman,approved
BP-401-3190,Sec-22-V-382,30.7355587,76.778329,35.6,2026-01-16,Prakash,approved
BP-401-6657,Sec-22-W-385,30.7308541,76.7784197,90.72,2025-08-31,Paramjeet,approved
BP-401-6580,22-V-387,30.7312472,76.7784214,92.65,2025-10-25,Arjun,approved
BP-401-2418,Sec-22-W-389,30.7314594,76.7784209,39.81,2025-04-25,Raj,approved
BP-401-6338,22-Q-391,30.7316414,76.7784207,161.96,2024-04-07,Daljeet,approved
BP-401-4491,Sec-22-K-397,30.7328541,76.778419,22.3,2024-04-20,Harjeet,approved
BP-401-3746,Sec-22-V-398,30.7328896,76.7784211,28.53,2025-05-10,Amandeep,rejected_but_built
BP-401-7130,Sec-22-E-399,30.7329547,76.7784198,61.53,2024-12-24,Daljeet,approved
BP-401-5639,S22-D-401,30.7333671,76.7784209,320.71,2025-11-30,Gurdeep,approved
BP-401-2419,22-H-405,30.7340453,76.7784197,192.99,2025-12-27,Daljeet,approved
BP-401-6555,Sec-22-P-406,30.7342082,76.7784224,38.85,2024-10-21,Amandeep,rejected_but_built
BP-401-1876,S22-B-407,30.7344214,76.7784183,317.49,2024-10-04,Harpreet,approved
BP-401-7963,S22-B-408,30.734651,76.7784209,49.71,2026-04-24,Balveer,approved
BP-401-9829,22-H-411,30.735288,76.7784202,74.92,2025-04-26,Satinder,approved
BP-401-7311,Sec-22-F-412,30.735371,76.7784207,46.61,2024-06-19,Ravinder,approved
BP-401-8118,22-B-413,30.7354448,76.7784204,60.46,2024-06-04,Manjeet,approved
BP-401-4872,S22-F-417,30.7308546,76.7785102,37.19,2025-07-21,Jasmeen,approved
BP-401-2428,22-B-419,30.731246,76.778512,45.5,2025-01-27,Satinder,approved
BP-401-4125,Sec-22-K-420,30.7313744,76.7785114,30.47,2026-03-24,Taranjeet,approved
BP-401-3889,Sec-22-S-424,30.7318477,76.7785098,63.72,2025-03-16,Daljeet,approved
BP-401-4268,22-K-425,30.731972,76.7785117,7.75,2025-02-11,Anita,approved
BP-401-6650,22-P-428,30.7326715,76.7785082,63.08,2024-09-02,Mohan,approved
BP-401-8161,S22-K-435,30.7338134,76.7785099,26.89,2024-12-14,Simran,approved
BP-401-4229,22-V-436,30.7338819,76.7785096,12.81,2024-09-25,Taranjeet,approved
BP-401-2684,Sec-22-B-437,30.7340389,76.7785112,87.56,2025-04-30,Raj,approved
BP-401-4618,S22-M-438,30.7342098,76.7785096,16.28,2025-01-13,Sukhwinder,rejected_but_built
BP-401-8812,Sec-22-D-439,30.7344249,76.7785108,109.25,2026-03-27,Daljeet,approved
BP-401-9279,22-G-440,30.7346508,76.7785092,17.76,2025-11-13,Gurpreet,approved
BP-401-7659,Sec-22-A-441,30.7348759,76.7785089,79.13,2026-06-14,Davinder,approved
BP-401-3514,22-M-449,30.7308563,76.7786677,148.2,2025-10-19,Ravneet,approved
BP-401-8026,Sec-22-K-451,30.7312482,76.7786692,184.06,2024-04-17,Vikram,approved
BP-401-7483,Sec-22-N-454,30.7315138,76.7786704,61.36,2025-09-13,Sukhwinder,approved
BP-401-3670,22-T-455,30.7316362,76.7786657,322.66,2025-08-15,Prakash,approved
BP-401-9670,Sec-22-D-456,30.7318475,76.7786682,256.92,2024-08-10,Suresh,approved
BP-401-9397,S22-H-457,30.7319685,76.7786622,33.1,2024-05-10,Taranjeet,approved
BP-401-1347,S22-P-460,30.7326758,76.7786661,427.65,2024-11-26,Suresh,rejected_but_built
BP-401-9123,S22-N-464,30.7330722,76.7786681,218.22,2024-07-27,Karan,approved
BP-401-2584,Sec-22-A-467,30.7338153,76.7786657,118.48,2025-07-01,Jagtar,approved
BP-401-5588,Sec-22-S-472,30.7346487,76.778663,82.56,2024-09-06,Harjeet,approved
BP-401-6883,22-W-474,30.7351521,76.7786647,219.5,2025-10-07,Arjun,approved
BP-401-4914,Sec-22-V-477,30.7354453,76.778666,105.07,2026-02-19,Rajesh,unauthorized
BP-401-3126,Sec-22-F-485,30.73146,76.7789266,107.43,2025-02-26,Narinder,approved
BP-401-7485,S22-Q-487,30.7316394,76.7789256,307.82,2025-07-27,Mohan,approved
BP-401-6864,22-Q-489,30.7319672,76.7789333,29.33,2024-05-17,Karan,approved
BP-401-9048,S22-E-491,30.7324385,76.7789288,244.46,2024-09-03,Balveer,approved
BP-401-3521,Sec-22-F-493,30.732854,76.7789283,44.72,2024-08-29,Davinder,approved
BP-401-5158,Sec-22-E-496,30.7330768,76.7789288,240.3,2025-07-03,Jagtar,approved
BP-401-6439,Sec-22-L-497,30.7333725,76.7789258,674.67,2024-04-11,Taranjeet,approved
BP-401-3091,22-J-500,30.7338809,76.7789269,54.37,2026-04-21,Surinder,approved
BP-401-3920,S22-P-503,30.7344199,76.7789249,507.45,2025-05-02,Aman,approved
BP-401-5089,Sec-22-F-504,30.7346519,76.7789264,89.0,2025-07-30,Jagdish,approved
BP-401-2619,Sec-22-B-513,30.7308577,76.7791375,115.53,2024-08-15,Suresh,approved
BP-401-7631,S22-L-515,30.7312479,76.7791403,141.78,2025-12-08,Satinder,approved
BP-401-4653,S22-D-524,30.7326769,76.7791408,279.89,2026-06-02,Arjun,approved
BP-401-3866,22-V-528,30.7330791,76.779137,110.44,2024-04-28,Amrik,approved
BP-401-5596,Sec-22-E-529,30.733372,76.7791373,439.95,2026-03-31,Taranjeet,approved
BP-401-5745,Sec-22-F-532,30.7338834,76.7791394,41.58,2025-11-09,Prakash,approved
BP-401-2626,22-Q-538,30.7351503,76.7791392,184.12,2026-04-09,Gurdeep,approved
BP-401-2845,S22-R-542,30.7355569,76.7791403,160.29,2024-12-28,Balwinder,approved
BP-401-4780,22-J-545,30.7308551,76.7792963,113.61,2026-05-26,Taranjeet,approved
BP-401-4387,22-Q-546,30.731048,76.7793,234.11,2024-08-22,Ashok,approved
BP-401-9789,S22-C-548,30.731377,76.7792976,102.44,2024-04-19,Balveer,approved
BP-401-4644,Sec-22-P-549,30.7314603,76.7792996,50.98,2026-01-30,Mohan,approved
BP-401-8877,S22-Q-553,30.7319756,76.7792948,25.23,2024-06-25,Preet,approved
BP-401-5827,Sec-22-L-555,30.7324339,76.7792908,105.65,2026-04-19,Ranjeet,approved
BP-401-8470,S22-T-556,30.7326787,76.7792939,228.31,2026-06-09,Harjeet,approved
BP-401-5520,22-V-558,30.7328887,76.7792923,21.67,2024-10-10,Surinder,approved
BP-401-7972,22-G-560,30.7330775,76.7792985,100.49,2025-06-24,Daljeet,approved
BP-401-8194,22-V-561,30.7333742,76.7792967,369.45,2024-08-10,Ravneet,approved
BP-401-2485,22-C-562,30.7336786,76.7793017,126.34,2026-03-30,Suresh,approved
BP-401-7804,22-S-565,30.7340415,76.7792956,173.96,2024-08-11,Jaswinder,approved
BP-401-9464,Sec-22-U-570,30.7351488,76.7792939,153.49,2024-12-25,Narinder,approved
BP-401-6824,22-F-572,30.7353692,76.7792993,46.83,2026-06-17,Karan,approved
BP-401-3520,Sec-22-P-574,30.7355593,76.7792974,110.02,2025-08-17,Amrik,approved
BP-401-2269,Sec-22-H-577,30.7308538,76.7795913,246.15,2026-01-02,Suresh,approved
BP-401-9021,S22-Q-586,30.732175,76.7795901,733.18,2025-04-21,Jagtar,approved
BP-401-6101,22-J-587,30.7324381,76.7795886,320.21,2024-07-28,Surinder,approved
BP-401-3374,S22-M-588,30.7326767,76.7795868,608.03,2024-11-05,Ravinder,approved
BP-401-8354,22-Q-589,30.7328538,76.7795905,97.31,2025-04-20,Amrik,approved
BP-401-3568,22-P-593,30.7333745,76.7795933,1083.71,2025-02-21,Arjun,approved
BP-401-8835,S22-F-611,30.7312458,76.7798695,76.15,2024-07-19,Ranjeet,approved
BP-401-9884,S22-K-612,30.7313763,76.7798693,73.02,2025-06-30,Jaswinder,approved
BP-401-5879,Sec-22-G-614,30.7315136,76.7798695,21.68,2024-11-23,Gurpreet,approved
BP-401-1818,S22-N-619,30.7324372,76.7798692,114.33,2026-04-06,Arjun,approved
BP-401-1934,22-B-620,30.7326784,76.7798691,161.03,2024-10-30,Baljeet,rejected_but_built
BP-401-9529,22-T-623,30.7329551,76.7798699,48.07,2024-05-09,Raj,approved
BP-401-5061,Sec-22-H-630,30.7342065,76.7798714,30.15,2026-04-10,Ashok,approved
BP-401-4494,Sec-22-J-635,30.735288,76.7798694,45.58,2024-08-22,Ravinder,approved
BP-401-8430,Sec-22-A-636,30.7353705,76.77987,40.56,2025-12-10,Jagdish,approved
BP-401-9560,S22-Q-637,30.7354461,76.7798699,51.02,2024-11-03,Amrik,unauthorized
BP-401-8238,22-W-638,30.735559,76.7798704,81.2,2024-05-10,Harjeet,approved
BP-401-1335,22-V-645,30.7314605,76.7799462,17.68,2024-12-18,Sukhwinder,approved
BP-401-6939,22-U-646,30.7315139,76.7799461,9.26,2025-09-19,Gurpreet,rejected_but_built
BP-401-4559,S22-C-649,30.731971,76.7799452,8.52,2025-03-07,Harpreet,rejected_but_built
BP-401-5783,S22-G-652,30.7326729,76.7799461,61.01,2026-02-16,Gurmeet,approved
BP-401-6132,S22-W-654,30.7328893,76.7799465,6.83,2024-08-11,Sukhwinder,approved
BP-401-5835,22-B-660,30.7338804,76.7799467,10.73,2025-07-24,Gurmeet,approved
BP-401-8446,Sec-22-M-662,30.7342056,76.7799448,9.61,2024-04-05,Ashok,approved
BP-401-3620,22-F-663,30.7344202,76.7799444,76.99,2025-04-13,Manpreet,approved
BP-401-8086,Sec-22-Q-664,30.7346542,76.779945,18.79,2025-10-12,Vikram,approved
BP-401-6677,Sec-22-N-665,30.7348753,76.7799458,71.21,2024-08-20,Vikram,approved
BP-401-7387,22-G-666,30.7351544,76.7799469,38.24,2025-01-06,Prakash,approved
BP-401-1657,Sec-22-N-668,30.7353693,76.7799459,14.34,2024-12-16,Amrik,unauthorized
BP-401-8400,22-F-669,30.735445,76.779945,16.23,2024-08-17,Ravinder,approved
BP-401-7953,22-D-673,30.730856,76.7800509,95.74,2024-12-28,Lakhveer,approved
BP-401-9017,22-M-674,30.7310418,76.7800468,207.02,2026-05-11,Narinder,approved
BP-401-7637,Sec-22-V-676,30.7313765,76.7800445,71.65,2025-11-19,Taranjeet,approved
BP-401-3423,22-P-678,30.7315138,76.7800465,40.42,2025-08-30,Surjeet,approved
BP-401-6828,22-T-680,30.7318478,76.7800509,164.41,2025-11-29,Balwinder,approved
BP-401-9957,S22-A-686,30.7328894,76.7800464,25.25,2026-02-01,Rajinder,approved
BP-401-1413,S22-U-687,30.7329557,76.7800464,65.98,2024-07-01,Taranjeet,approved
BP-401-4198,Sec-22-T-690,30.7336809,76.7800505,184.55,2025-01-10,Ravinder,approved
BP-401-6582,Sec-22-L-693,30.734046,76.7800421,225.58,2024-05-23,Prakash,approved
BP-401-4603,22-N-696,30.7346512,76.7800453,64.54,2026-03-07,Gurmeet,approved
BP-401-2400,Sec-22-U-697,30.7348777,76.7800411,257.3,2025-02-03,Taranjeet,approved
BP-401-6284,Sec-22-H-699,30.7352906,76.7800483,70.32,2025-03-24,Ranjeet,approved
BP-401-3042,Sec-22-C-708,30.7313766,76.7804086,260.18,2025-10-20,Narinder,approved
BP-401-4758,Sec-22-E-710,30.7315132,76.7804174,115.85,2026-05-03,Baljeet,approved
BP-401-8363,S22-S-711,30.7316363,76.7804158,711.2,2026-05-27,Sandeep,approved
BP-401-6808,S22-N-712,30.7318471,76.7804196,751.34,2025-04-29,Narinder,approved
BP-401-7306,Sec-22-P-713,30.731967,76.7804274,72.11,2026-05-30,Amandeep,approved
BP-401-8222,Sec-22-P-714,30.7321657,76.7804186,1319.93,2025-01-18,Raj,approved
BP-401-6433,22-Q-716,30.7326771,76.7804132,895.88,2025-02-02,Kiran,approved
BP-401-6280,S22-N-719,30.7329533,76.7804099,273.76,2025-05-12,Manjeet,approved
BP-401-9719,22-N-720,30.7330775,76.780422,381.19,2024-08-03,Amrik,approved
BP-401-2374,S22-C-723,30.7338164,76.7804148,302.86,2024-12-28,Mohan,approved
BP-401-7185,S22-J-727,30.7344218,76.7804132,986.35,2025-10-06,Ashok,approved
BP-401-3389,22-U-730,30.7351538,76.7804062,622.05,2026-06-14,Suresh,approved
BP-401-6900,22-E-737,30.7308532,76.7807258,26.31,2025-11-18,Narinder,approved
BP-401-1131,Sec-22-E-743,30.7316361,76.7807244,49.67,2024-05-21,Jasmeen,approved
BP-401-3569,S22-J-745,30.7319683,76.7807262,6.86,2024-10-26,Ravinder,rejected_but_built
BP-401-7093,22-H-747,30.7324364,76.7807253,47.8,2026-02-03,Vikram,approved
BP-401-6853,S22-P-750,30.7328893,76.7807259,8.89,2025-03-10,Raj,approved
BP-401-5197,S22-U-752,30.7330814,76.7807258,41.67,2024-04-25,Suresh,approved
BP-401-1974,S22-K-753,30.7333757,76.7807248,127.29,2024-12-24,Karan,approved
BP-401-1599,Sec-22-K-757,30.7340406,76.7807242,72.72,2024-07-26,Sandeep,approved
BP-401-1006,Sec-22-K-764,30.7353698,76.780726,21.46,2025-06-27,Manjeet,approved
BP-401-6170,22-V-765,30.7354449,76.7807262,19.32,2024-07-25,Daljeet,approved
BP-401-4897,Sec-22-P-767,30.7356857,76.7807253,34.57,2024-06-08,Sukhpreet,approved
BP-401-7508,22-N-769,30.7308547,76.7807931,63.4,2025-08-04,Manjeet,approved
BP-401-4434,22-J-770,30.7310455,76.7807932,120.07,2025-09-12,Manjeet,approved
BP-401-6350,S22-M-771,30.7312459,76.7807918,76.33,2026-05-17,Mohan,approved
BP-401-6115,S22-U-772,30.7313765,76.7807912,42.42,2025-03-09,Narinder,approved
BP-401-1286,Sec-22-W-774,30.7315166,76.7807921,20.53,2024-08-17,Taranjeet,approved
BP-401-8871,22-T-776,30.7318486,76.7807913,99.18,2024-06-24,Surinder,approved
BP-401-5877,S22-W-784,30.7330834,76.7807916,77.15,2025-10-12,Surinder,approved
BP-401-7698,S22-D-787,30.7338162,76.7807912,36.26,2025-09-09,Suresh,approved
BP-401-6604,Sec-22-A-790,30.7342039,76.7807899,23.28,2025-11-15,Ashok,approved
BP-401-3474,S22-D-798,30.7355601,76.7807921,58.91,2025-07-13,Amandeep,approved
BP-401-3408,S22-S-802,30.7310467,76.7809105,157.78,2026-05-18,Arjun,approved
BP-401-3033,22-Q-807,30.7316379,76.7809081,166.6,2024-06-08,Sukhpreet,approved
BP-401-5854,S22-K-808,30.7318462,76.7809093,189.56,2024-12-04,Davinder,approved
BP-401-2458,Sec-22-A-811,30.7324389,76.7809109,116.22,2025-08-18,Lakhveer,approved
BP-401-4513,22-R-812,30.7326794,76.7809116,259.55,2025-06-08,Balwinder,approved
BP-401-8523,Sec-22-G-814,30.7328891,76.7809117,23.91,2024-07-30,Lakhveer,approved
BP-401-3043,S22-V-817,30.7333756,76.7809109,303.63,2026-05-14,Narinder,approved
BP-401-4288,S22-M-818,30.7336819,76.7809095,181.46,2024-11-15,Suresh,approved
BP-401-3230,22-D-819,30.733815,76.7809101,78.83,2025-12-29,Manjeet,approved
BP-401-9850,Sec-22-S-821,30.7340409,76.7809103,196.28,2026-05-15,Raj,approved
BP-401-8326,S22-E-823,30.7344183,76.7809091,335.31,2024-12-15,Ashok,approved
BP-401-5091,Sec-22-J-824,30.734655,76.7809067,68.1,2026-01-02,Prakash,approved
BP-401-6861,22-F-825,30.734879,76.7809103,264.12,2025-05-14,Manjeet,approved
BP-401-3030,22-K-826,30.7351542,76.7809101,167.76,2026-03-09,Suresh,approved
BP-401-8324,S22-G-827,30.7352894,76.7809107,76.85,2024-11-07,Amarjeet,approved
BP-401-6947,S22-G-828,30.7353708,76.7809098,59.99,2025-07-17,Prakash,approved
BP-401-2888,22-N-829,30.7354461,76.7809079,60.39,2026-06-10,Raj,approved
BP-401-6562,22-R-831,30.7356868,76.7809096,98.47,2026-02-01,Mandeep,approved
BP-401-3869,22-B-833,30.7308566,76.7810392,87.32,2024-10-30,Lakhveer,approved
BP-401-3917,22-V-834,30.7310442,76.7810398,160.88,2024-12-20,Sandeep,approved
BP-401-1004,22-T-838,30.7315141,76.7810398,21.05,2026-06-11,Simran,approved
BP-401-3484,Sec-22-D-842,30.7321723,76.7810407,193.46,2025-02-18,Karan,approved
BP-401-8467,22-P-846,30.7328897,76.78104,18.41,2025-12-22,Jaswinder,approved
BP-401-1342,Sec-22-P-847,30.7329531,76.7810402,47.85,2024-05-28,Karan,approved
BP-401-2845,22-W-848,30.7330758,76.7810409,95.65,2024-11-22,Harjeet,approved
BP-401-7245,S22-P-849,30.7333713,76.7810411,213.8,2025-06-07,Harsimran,unauthorized
BP-401-1171,S22-L-854,30.7342066,76.7810413,23.32,2026-06-08,Ranjeet,approved
BP-401-4401,22-D-859,30.7352892,76.7810409,43.09,2026-05-24,Ravinder,approved
BP-401-6032,Sec-22-C-860,30.7353702,76.7810397,32.38,2025-10-05,Satinder,approved
BP-401-2649,22-W-862,30.7355597,76.7810382,74.38,2026-02-02,Narinder,approved
BP-401-4509,S22-E-864,30.7357761,76.7810386,33.15,2025-09-03,Taranjeet,approved
