doc_number,survey_number,registration_date,area_sqft,seller,buyer,sale_value
SRO/CH/58554,S22/C-108,17/08/2023,5369.46,Gunbir Kakar,Vikram,55435688.77
SRO/CH/19266,S22/W-109,07/06/2023,615.8,Keya Venkatesh,Satinder,48970524.17
SRO/CH/19045,22/R-110,19/04/2022,598.9,Vedika Solanki,Sukhwinder,4545035.96
SRO/CH/59213,Sec-22/G-111,02/10/2021,1528.37,Pushti Nayar,Sandeep,29583331.54
SRO/CH/84552,Sec-22/B-112,18/09/2022,2525.32,Hemal Murty,Surindar,28232759.8
SRO/CH/40681,Sec-22/Q-113,20/08/2023,7200.94,Jalsa Rastogi,Simran,59936481.3
SRO/CH/15944,22/R-114,21/03/2022,3004.53,Dakshesh Parekh,Preet,93290028.03
SRO/CH/91936,S22/R-115,28/12/2025,1471.53,Harish Aggarwal,Davinder,113549096.51
SRO/CH/88575,Sec-22/E-116,10/02/2025,745.62,Neelima Dewan,Jasleen,11546138.39
SRO/CH/79562,S22/V-117,12/02/2026,4619.0,Jason Wali,Harlin,38924147.48
SRO/CH/41437,22/Q-118,09/06/2024,757.46,Yuvraj Pillay,Narinder,49269701.28
SRO/CH/33218,Sec-22/A-119,14/03/2025,6459.31,Vaishnavi Varma,Manjit,386341118.73
SRO/CH/55491,Sec-22/V-120,23/02/2024,1459.91,Raghav Aggarwal,Amrik,31720326.79
SRO/CH/43620,22/K-121,12/10/2022,5960.19,Anay Parsa,Satinder,497720340.31
SRO/CH/55125,S22/B-122,21/10/2024,3006.9,Eshana Sawhney,Rajesh,114456405.9
SRO/CH/26521,S22/G-123,20/06/2023,1618.03,Vedhika Ratta,Raj,10244347.05
SRO/CH/58875,S22/S-124,23/01/2025,1150.45,Ijaya Sangha,Parmjit,23013370.13
SRO/CH/38176,22/S-125,08/09/2022,1347.64,Harish Rajan,Neelam,30863314.92
SRO/CH/71301,22/P-126,23/01/2022,2397.87,Robert Dhar,Aman,36202780.73
SRO/CH/70350,22/E-127,15/11/2023,1911.02,Joshua Tank,Daljeet,17196724.96
SRO/CH/58745,Sec-22/N-128,05/07/2022,1081.13,Charvi Sibal,Aman,76688540.93
SRO/CH/94855,S22/N-129,19/01/2026,611.17,Sanaya D’Alia,Balveer,11934201.06
SRO/CH/87703,Sec-22/G-130,11/09/2022,1192.75,Wridesh Kohli,Harpreet,25611872.91
SRO/CH/58721,S22/K-131,08/02/2022,735.93,Onkar Chakraborty,Satinder,119570520.54
SRO/CH/18932,S22/H-132,13/03/2025,525.49,Radhika Balakrishnan,Ashok,5717148.4
SRO/CH/85099,Sec-22/C-133,09/02/2022,333.36,Eta Rajagopal,Aman,6868314.45
SRO/CH/81833,22/J-134,28/09/2022,218.51,Thomas Kurian,Gurmeet,3758180.67
SRO/CH/39055,Sec-22/T-135,30/09/2024,973.16,Jatin Deshpande,Jaswinder,15592198.92
SRO/CH/93666,S22/T-136,24/02/2026,1027.52,Gautam Natarajan,Manjeet,8458929.71
SRO/CH/67357,Sec-22/W-137,31/08/2024,144.88,Dhruv Oza,Ranjeet,1415280.02
SRO/CH/55771,Sec-22/N-138,29/12/2023,1733.31,Lakshmi Sarkar,Sukhwinder,60718027.8
SRO/CH/43630,Sec-22/M-139,30/11/2022,830.43,Udant Lad,Jagtar,14164204.75
SRO/CH/49156,S22/S-140,24/03/2024,1588.0,Bina Chahal,Prakash,25481937.79
SRO/CH/14815,Sec-22/F-141,07/11/2024,176.31,Gaurav Oak,Prakash,16907309.33
SRO/CH/73853,Sec-22/T-142,22/06/2023,180.3,Jack Pillai,Raaj,19231525.05
SRO/CH/68508,Sec-22/T-143,06/07/2026,443.04,Dhriti Rai,Mohun,10225960.3
SRO/CH/28341,22/D-144,27/01/2025,775.97,Deepa Bhatia,Ashok,18222371.86
SRO/CH/93849,22/U-145,06/12/2025,2029.86,Lipika Sampath,Mandip,25870912.3
SRO/CH/65057,22/S-146,27/12/2024,876.18,Janya Date,Balveer,9920895.91
SRO/CH/16123,Sec-22/W-147,28/04/2023,425.17,Hredhaan Rana,Kuldeep,4901679.24
SRO/CH/30204,Sec-22/A-148,19/01/2023,200.21,Triveni Mutti,Harjeet,9995539.59
SRO/CH/63724,22/V-149,18/01/2023,1340.86,Chaman Kanda,Raj,11839985.14
SRO/CH/80346,Sec-22/N-150,05/08/2026,221.52,Tamanna Din,Raajesh,2266837.95
SRO/CH/85952,22/E-151,15/04/2024,1863.12,Madhav Banerjee,Daljeet,22450471.15
SRO/CH/16997,22/E-151,01/05/2024,1863.12,Daljeet,Dayamai Thakkar,26123675.25
SRO/CH/10750,22/L-152,24/10/2022,419.9,Anusha Sridhar,Davinder,6103721.05
SRO/CH/96617,S22/N-153,16/08/2022,1802.85,Warda Manne,Lakhveer,77887521.14
SRO/CH/59092,22/C-154,27/08/2022,887.59,Daniel Nath,Ravinder,9931728.87
SRO/CH/45285,S22/G-155,10/10/2023,471.46,Shivansh Kar,Karan,3331951.37
SRO/CH/46544,S22/W-156,13/09/2024,335.19,Praneel Sura,Rawinder,5403197.57
SRO/CH/10077,22/Q-157,21/11/2021,390.94,Chandani Dutta,Prakash,6090130.87
SRO/CH/28684,S22/P-158,26/07/2022,723.12,Manya Nazareth,Daljeet,11385851.88
SRO/CH/54765,S22/M-159,09/05/2026,554.88,Urvashi Pall,Gurmit,11661791.37
SRO/CH/77669,Sec-22/J-160,31/07/2025,327.65,Mahika Bora,Raj,8702102.58
SRO/CH/67096,22/L-161,12/05/2023,746.37,Barkha Hayer,Taranjeet,20737322.95
SRO/CH/36281,S22/A-162,27/09/2024,1419.11,Gunbir Deep,Rajinder,124130072.27
SRO/CH/95308,S22/J-163,03/05/2023,714.62,Chatura Modi,Amrik,13246112.07
SRO/CH/13676,S22/M-164,20/05/2025,478.46,Nihal Devan,Jagdish,21170872.77
SRO/CH/18125,Sec-22/N-165,30/03/2024,323.56,Vasudha Manne,Vickram,6089166.27
SRO/CH/43950,22/M-166,22/08/2022,228.41,Shaurya Kamdar,Suresh,21658564.72
SRO/CH/98823,22/M-166,06/09/2022,228.41,Suresh,Aditya Pathak,29629044.28
SRO/CH/57269,22/M-167,04/01/2025,1112.34,Manbir Puri,Jaswinder,12632681.74
SRO/CH/78703,22/H-168,15/07/2025,1233.44,Om Bhalla,Ranjeet,87933199.37
SRO/CH/21427,Sec-22/D-169,01/04/2025,224.43,Ishani Som,Surinder,35868194.83
SRO/CH/66078,S22/U-170,31/07/2026,2426.94,Charles Dalal,Taranjeet,127588987.38
SRO/CH/94276,Sec-22/R-171,24/03/2024,1103.95,Radha Dixit,Aman,9652552.27
SRO/CH/12969,Sec-22/Q-172,18/04/2024,1875.82,Yash Bandi,Balweer,32275441.77
SRO/CH/69164,22/S-173,29/12/2024,191.17,Wridesh Ranganathan,Ravinder,6593580.12
SRO/CH/91382,S22/B-174,25/08/2024,205.7,Chasmum Gera,Satinder,4310899.09
SRO/CH/96913,22/Q-175,12/08/2024,506.12,Gaurav Sheth,Surinder,116372997.9
SRO/CH/52569,S22/G-176,28/09/2023,847.44,Anvi Saxena,Aman,11178043.17
SRO/CH/17269,S22/F-177,06/11/2021,2372.69,Advay Dar,Gurpreet,32946483.4
SRO/CH/28287,Sec-22/L-178,15/07/2024,1041.51,Fitan Dara,Ranjeet,22558097.11
SRO/CH/99515,22/S-179,04/08/2022,488.68,Yashodhara Kar,Jaswinder,2963456.54
SRO/CH/64669,Sec-22/D-180,12/12/2023,227.23,Varsha Mahal,Mandeep,2195206.06
SRO/CH/14747,S22/V-181,23/04/2023,1576.37,Pratyush Rajagopalan,Davinder,74631986.52
SRO/CH/86842,22/W-182,17/04/2022,331.85,Radha Misra,Navjot,5935267.66
SRO/CH/29216,22/V-183,10/09/2025,2389.59,Hardik Nanda,Ravneet,35138064.57
SRO/CH/75344,22/G-184,25/04/2022,560.05,Qasim Ravi,Ashok,10131319.08
SRO/CH/74323,S22/T-185,14/04/2024,2158.27,Meera Yadav,Manpreet,195300727.79
SRO/CH/95685,Sec-22/L-186,22/10/2021,901.05,Devansh Venkataraman,Navjot,13665668.86
SRO/CH/40838,Sec-22/T-187,07/09/2023,486.64,Sarthak Dalal,Raj,9433584.33
SRO/CH/12035,22/W-188,18/04/2022,390.73,Pranit Ahluwalia,Mandeep,6675258.56
SRO/CH/18848,22/A-189,24/04/2023,453.38,Dipta Das,Jaswinder,2986900.78
SRO/CH/85281,Sec-22/E-190,19/08/2026,816.87,Kabir Jhaveri,Gunbir Murugan,9308942.97
SRO/CH/92154,Sec-22/Q-191,13/08/2026,578.67,Gagan Kunda,Jagrati Murugan,33972063.39
SRO/CH/70124,22/V-192,26/08/2026,319.69,Frado Dash,Hemangini Murugan,10196862.17
SRO/CH/33134,S22/D-193,20/08/2026,5964.17,Januja Garg,Aishani Murugan,40610128.28
SRO/CH/19958,22/N-194,02/09/2026,12100.78,Aadi Kothari,Caleb Murugan,204405417.37
SRO/CH/60886,S22/T-195,30/08/2026,7249.92,Chakradhar Venkataraman,Tripti Murugan,186248756.74
SRO/CH/98346,S22/K-196,28/08/2026,5126.95,Sai Dey,Jeet Murugan,133134529.91
SRO/CH/71147,Sec-22/G-197,17/09/2026,3186.33,Dhriti Virk,Kritika Murugan,63458192.13
SRO/CH/33393,22/D-198,15/12/2022,2296.8,Yashvi Kadakia,Gurmeet,49450853.41
SRO/CH/97442,22/J-199,26/04/2024,9420.24,Chaitanya Khalsa,Ranjeet,200464532.5
SRO/CH/46647,22/G-200,25/07/2026,10237.44,Raghav Dhar,Baljit,414631330.82
SRO/CH/21983,22/H-201,29/01/2023,1439.24,Tanveer Desai,Mohan,9632324.94
SRO/CH/94189,Sec-22/V-202,25/09/2022,16996.84,Jagrati Mall,Balveer,132886510.24
SRO/CH/10785,22/B-203,05/03/2025,8061.73,Pahal Borde,Ashoke,172210084.39
SRO/CH/84825,Sec-22/R-204,13/02/2025,14677.01,Abha Raj,Amrik,189320114.18
SRO/CH/47566,22/R-205,18/12/2021,1681.32,Mugdha Shan,Prakash,34246420.6
SRO/CH/17748,S22/V-206,20/02/2024,1788.53,Aachal Sandal,Vikram,59039439.41
SRO/CH/58732,22/L-207,14/05/2024,4351.52,Samar Bobal,Amarjeet,51219655.29
SRO/CH/27828,S22/G-208,14/12/2023,7073.17,Reyansh Pradhan,Preet,133084301.79
SRO/CH/47605,Sec-22/D-209,07/08/2025,21071.41,Oni Dube,Sukhwinder,268859572.19
SRO/CH/19189,S22/K-210,10/05/2023,8621.02,Radha Raghavan,Ranjeet,185995674.53
SRO/CH/87841,S22/U-211,16/10/2022,4096.85,Yug Brahmbhatt,Paramjeet,66753716.43
SRO/CH/44192,22/G-212,25/05/2025,2499.38,Jeet Wali,Harjit,34914490.92
SRO/CH/59711,22/B-213,18/06/2026,12928.41,Niharika Bhatti,Jagdeesh,328475240.66
SRO/CH/27776,Sec-22/P-214,07/10/2022,2668.8,Gaurav Patil,Davinder,34310187.45
SRO/CH/10328,Sec-22/L-215,07/11/2024,17330.09,Anjali Dhingra,Ashok,179071615.5
SRO/CH/68332,Sec-22/P-216,28/10/2021,4037.65,Anusha Anne,Mandeep,111460659.87
SRO/CH/64542,Sec-22/N-217,09/08/2023,17054.11,Krishna Kapadia,Gurpreet,1452378084.78
SRO/CH/66992,Sec-22/V-218,17/05/2026,8797.44,Henry Dasgupta,Vikram,196108998.29
SRO/CH/53914,S22/B-219,15/03/2023,4537.2,Damini Suri,Jagdish,68540530.21
SRO/CH/39844,S22/R-220,08/02/2024,3333.04,Ikshita Manda,Arjun,65416006.89
SRO/CH/89043,Sec-22/R-221,16/03/2023,3762.84,Hardik Bava,Kiran,274231780.24
SRO/CH/83922,22/F-222,20/08/2026,6966.93,Eesha Ramachandran,Ravinder,46600071.33
SRO/CH/70692,22/H-223,04/09/2025,5316.18,Hemani Wali,Suresh,37552924.61
SRO/CH/21502,S22/K-224,07/10/2025,3152.21,Vansha Datta,Gurmeet,62856494.31
SRO/CH/86171,22/K-225,26/04/2023,740.66,Aditya Varghese,Ashok,56283686.19
SRO/CH/65017,22/P-226,05/10/2024,1506.73,Jonathan Dhar,Sandeep,54526433.8
SRO/CH/89536,22/G-227,14/04/2026,898.89,Amara Bera,Jagtar,16208908.55
SRO/CH/52463,S22/B-228,04/03/2023,628.4,Zaid Sahota,Jaswinder,4758900.19
SRO/CH/22265,S22/F-229,06/03/2025,401.6,Qadim Sarna,Mandeep,32224656.43
SRO/CH/11774,S22/C-230,25/02/2026,276.2,Upadhriti Thakkar,Narindar,13674629.27
SRO/CH/39763,22/E-231,28/11/2021,1233.54,Anya Sangha,Ravinder,7711495.82
SRO/CH/25314,22/H-232,31/05/2025,1246.46,Dalaja Chahal,Manjit,35215706.08
SRO/CH/29022,Sec-22/K-233,19/09/2025,175.67,Niharika Munshi,Vikram,7418751.05
SRO/CH/57651,S22/T-234,15/06/2022,2153.75,Fariq Bose,Jagdish,160880189.04
SRO/CH/83340,Sec-22/A-235,16/10/2021,988.34,Girik Gandhi,Surindar,17421768.51
SRO/CH/18880,S22/U-236,26/05/2022,1911.45,Frado Mangal,Paramjeet,11431424.53
SRO/CH/70048,22/W-237,22/03/2023,213.99,Advaith Samra,Davinder,1656222.67
SRO/CH/76851,22/D-238,10/05/2024,222.92,Varsha Tank,Vikram,2529992.12
SRO/CH/29940,Sec-22/Q-239,15/03/2025,561.12,Nidra Atwal,Harjeet,8122327.38
SRO/CH/48131,22/S-240,18/08/2022,950.78,Abhimanyu Sandal,Jagdish,7898117.5
SRO/CH/68247,S22/P-241,05/02/2023,2587.75,Yash Wable,Kuldeep,37743095.98
SRO/CH/74530,Sec-22/B-242,14/12/2024,1073.38,Saumya Ganguly,Aman,16751894.19
SRO/CH/94209,S22/T-243,15/09/2022,521.94,Parth Borde,Mandeep,5309696.53
SRO/CH/53117,S22/H-244,06/11/2021,267.16,Kiaan Varkey,Manprith,2899380.89
SRO/CH/82369,S22/S-245,17/04/2025,1668.4,Charan Sami,Gurmit,12713710.06
SRO/CH/49848,22/E-246,10/12/2021,293.42,Ladli Garde,Narinder,12443973.05
SRO/CH/97432,22/N-247,06/07/2025,2281.19,Isaiah Nigam,Paramjeet,54725618.72
SRO/CH/31089,22/J-248,16/05/2023,557.03,Jacob Mannan,Davinder,8289744.35
SRO/CH/50688,Sec-22/P-249,28/03/2024,2135.02,Vasudha Memon,Jagtar,157844221.85
SRO/CH/79816,22/J-250,11/01/2025,1098.56,Tanay Agate,Rajesh,49357666.44
SRO/CH/76521,22/T-251,01/03/2024,575.44,Teerth Mody,Simran,10228143.13
SRO/CH/32937,S22/M-252,22/11/2021,411.07,Ubika Sura,Mohun,5252139.39
SRO/CH/99790,22/G-253,05/09/2024,488.9,Ishani Ahuja,Jagdish,10619992.16
SRO/CH/86701,22/R-254,30/10/2021,841.2,Falguni Misra,Satinder,27423244.15
SRO/CH/53449,S22/G-255,13/01/2024,650.57,Hredhaan Ahluwalia,Mandeep,12494999.03
SRO/CH/77006,22/N-256,08/08/2024,393.85,Quincy Ratti,Gurpreet,8286800.98
SRO/CH/42279,Sec-22/F-257,30/09/2024,642.6,Aditya Chaudhuri,Suresh,53869170.42
SRO/CH/51026,22/M-258,08/06/2022,1243.02,Vyanjana Hora,Raj,16041902.47
SRO/CH/10194,S22/C-259,23/03/2026,770.16,Yoshita Dube,Prakash,17993629.57
SRO/CH/59117,S22/C-260,17/04/2024,596.43,Jatin Sura,Ashoke,8013022.35
SRO/CH/92817,Sec-22/V-261,16/11/2025,330.45,Nachiket Krishna,Arjun,1872315.89
SRO/CH/87976,Sec-22/V-262,23/01/2023,212.48,Upma Rana,Lakhveer,3398220.68
SRO/CH/73282,22/A-263,26/01/2025,1049.59,Chandani Patla,Kuldeep,18835477.17
SRO/CH/65462,Sec-22/M-264,24/05/2026,1129.67,Qabil Yadav,Balweer,10814810.03
SRO/CH/12961,S22/T-265,02/07/2025,205.27,Ikbal Sarna,Taranjeet,3878208.13
SRO/CH/58777,Sec-22/E-266,11/12/2024,1957.42,Neel Dey,Arjun,318220148.05
SRO/CH/51642,22/S-267,18/05/2025,911.06,Radha Ahluwalia,Daljeet,13275100.29
SRO/CH/95202,22/R-268,23/10/2021,1520.83,Rushil Choudhry,Ranjeet,28894766.08
SRO/CH/86904,22/C-269,28/08/2023,158.98,Bhavani Baria,Harleen,4284256.85
SRO/CH/43417,22/L-270,02/05/2023,175.34,Megha Sama,Rajesh,3436252.61
SRO/CH/39498,Sec-22/S-271,11/02/2022,405.26,Azad Dyal,Mandip,3739213.53
SRO/CH/35852,S22/T-272,14/12/2024,704.39,Varenya Lata,Sukhwinder,7668985.6
SRO/CH/66201,Sec-22/V-273,24/12/2025,1912.53,Oviya Suresh,Jagtar,124964326.31
SRO/CH/50781,Sec-22/K-274,04/08/2025,865.09,Joshua Nair,Satindar,57958183.82
SRO/CH/22251,Sec-22/B-275,10/08/2025,451.87,Yachana Ramachandran,Anita,11007828.89
SRO/CH/61973,Sec-22/D-276,26/11/2022,248.22,Imaran Chokshi,Sukhpreet,3815442.93
SRO/CH/56087,22/K-277,27/03/2022,1507.91,Jonathan Dugal,Harpreet,41423183.71
SRO/CH/76681,22/P-278,20/05/2026,234.33,Xiti Arya,Sukhvinder,8980689.9
SRO/CH/49369,Sec-22/A-279,15/02/2026,1634.28,Charles Oommen,Kamaljeet,67035203.0
SRO/CH/44231,S22/P-280,08/11/2025,399.88,Abhiram Saraf,Daljeet,28987163.21
SRO/CH/80771,Sec-22/S-281,07/07/2026,1666.9,Bimala Manda,Parkash,22397912.61
