property_id,survey_number,area_sq_m,owner_name,tax_due,last_paid,assessment_year
TAX-401-4366,22/R-86,152.75,Rawinder,22432.27,2026-09-09,2026
TAX-401-6336,22/U-87,1231.0,Vickram,867137.41,2025-08-28,2026
TAX-401-5997,S22/E-88,282.97,Preeti,32326.01,2026-04-28,2026
TAX-401-6670,S22/L-89,1180.13,Harjit,0.0,2025-12-10,2026
TAX-401-7531,22/D-90,574.12,Amreek,227913.53,2026-01-09,2026
TAX-401-7241,,311.21,Manjit,20394.95,2025-09-09,2026
TAX-401-2643,Sec-22/M-92,225.28,Dawinder,0.0,2025-11-18,2026
TAX-401-5031,S22/Q-93,270.58,Sureesh,108662.18,2026-07-29,2026
TAX-401-6518,S22/B-94,474.21,Taranjit,29481.93,2026-07-12,2026
TAX-401-3195,,366.52,Taranjit,37966.36,2025-12-06,2026
TAX-401-6731,22/S-96,209.44,Harjit,194431.14,2026-03-20,2026
TAX-401-1185,22/G-97,200.06,Jagtaar,10859.08,2025-11-21,2026
TAX-401-7332,22/V-98,395.28,Jagtaar,58626.0,2026-02-20,2026
TAX-401-4651,Sec-22/B-99,235.32,Ranjit,13326.88,2026-07-29,2026
TAX-401-7249,22/K-100,166.26,Nilam,18726.6,2025-11-27,2026
TAX-401-4038,S22/W-101,98.51,Harjit,0.0,2026-02-09,2026
TAX-401-3673,S22/N-102,63.27,Simren,9088.44,2026-06-07,2026
TAX-401-1482,22/G-103,308.99,Sukhvinder,119401.48,2025-08-19,2026
TAX-401-8382,22/S-104,343.87,Raaj,33285.14,2026-01-10,2026
TAX-401-8821,22/D-105,32.19,Gurprith,2720.13,2026-04-27,2026
TAX-401-1714,22/S-106,573.47,Sukhvinder,43726.27,2025-10-13,2026
TAX-401-9292,S22/B-107,246.75,Sureesh,20999.0,2025-08-29,2026
TAX-401-7066,S22/C-108,498.84,Vickram,247964.04,2026-01-19,2026
TAX-401-7769,S22/W-109,57.21,Satindar,22408.47,2026-04-26,2026
TAX-401-8846,22/R-110,55.64,Sukhvinder,3163.34,2026-01-18,2026
TAX-401-9305,Sec-22/G-111,141.99,Sandip,11745.31,2026-04-20,2026
TAX-401-4851,Sec-22/B-112,234.61,Surindar,8312.47,2026-03-19,2026
TAX-401-4802,Sec-22/Q-113,668.99,Simren,18766.35,2026-02-04,2026
TAX-401-4005,22/R-114,279.13,Preeti,0.0,2026-04-01,2026
TAX-401-7427,S22/R-115,136.71,Dawinder,32755.01,2026-02-11,2026
TAX-401-2032,,69.27,Jaslin,4498.91,2026-03-09,2026
TAX-401-8263,S22/V-117,429.12,Harlin,24783.66,2026-01-23,2026
TAX-401-6843,22/Q-118,70.37,Narindar,47218.63,2025-11-07,2026
TAX-401-4166,Sec-22/A-119,600.09,Manjit,473840.86,2025-09-14,2026
TAX-401-9130,Sec-22/V-120,135.63,Amreek,18474.69,2025-12-29,2026
TAX-401-5489,22/K-121,553.72,Satindar,157444.14,2026-04-02,2026
TAX-401-7420,S22/B-122,279.35,Raajesh,48652.35,2026-03-12,2026
TAX-401-6974,S22/G-123,150.32,Raaj,13780.99,2025-09-22,2026
TAX-401-2926,S22/S-124,106.88,Parmjit,4994.58,2025-10-20,2026
TAX-401-1905,22/S-125,125.2,Nilam,0.0,2026-06-16,2026
TAX-401-3046,22/P-126,222.77,Amaan,7846.78,2025-09-06,2026
TAX-401-3442,22/E-127,177.54,Daljit,17968.07,2026-09-11,2026
TAX-401-2561,Sec-22/N-128,100.44,Amaan,51782.03,2026-02-04,2026
TAX-401-3398,S22/N-129,56.78,Balweer,3274.63,2025-12-17,2026
TAX-401-7926,Sec-22/G-130,110.81,Harprith,2697.72,2025-10-16,2026
TAX-401-2265,S22/K-131,68.37,Satindar,7831.16,2025-12-24,2026
TAX-401-1414,,48.82,Ashoke,5072.07,2026-07-11,2026
TAX-401-7504,Sec-22/C-133,30.97,Amaan,2789.38,2026-08-20,2026
TAX-401-3788,22/J-134,20.3,Gurmit,1865.13,2026-08-27,2026
TAX-401-9440,Sec-22/T-135,70.62,Jasvinder,0.0,2025-08-17,2026
TAX-401-6435,S22/T-136,95.46,Manjit,2457.35,2025-12-28,2026
TAX-401-9724,Sec-22/W-137,13.46,Ranjit,316.07,2025-10-07,2026
TAX-401-8662,Sec-22/N-138,161.03,Sukhvinder,78997.36,2026-01-31,2026
TAX-401-5406,Sec-22/M-139,77.15,Jagtaar,8314.88,2025-08-31,2026
TAX-401-8714,S22/S-140,147.53,Parkash,0.0,2025-11-24,2026
TAX-401-6102,,16.38,Parkash,13789.96,2026-06-16,2026
TAX-401-7235,Sec-22/T-142,16.75,Raaj,16199.23,2025-08-29,2026
TAX-401-9200,Sec-22/T-143,41.16,Mohun,5118.61,2025-08-29,2026
TAX-401-1618,,72.09,Ashoke,11506.67,2026-04-26,2026
TAX-401-6960,,188.58,Mandip,27762.01,2025-12-27,2026
TAX-401-3808,22/S-146,81.4,Balweer,9235.16,2025-11-19,2026
TAX-401-3397,Sec-22/W-147,39.5,Kuldip,4047.86,2026-03-27,2026
TAX-401-2586,Sec-22/A-148,18.6,Harjit,7981.71,2026-06-25,2026
TAX-401-7603,22/V-149,124.57,Raaj,8717.62,2026-03-31,2026
TAX-401-7357,Sec-22/N-150,20.58,Raajesh,832.82,2026-04-17,2026
TAX-401-5935,,173.09,Daljit,16336.96,2026-06-30,2026
TAX-401-8430,22/L-152,39.01,Dawinder,2109.34,2026-08-04,2026
TAX-401-4932,S22/N-153,167.49,Lakhweer,121209.48,2026-07-10,2026
TAX-401-4723,22/C-154,82.46,Rawinder,3592.56,2026-01-06,2026
TAX-401-3253,,43.8,Karun,1187.59,2025-11-20,2026
TAX-401-7402,S22/W-156,31.14,Rawinder,1154.67,2026-08-27,2026
TAX-401-3249,22/Q-157,36.32,Parkash,0.0,2025-12-04,2026
TAX-401-8898,S22/P-158,67.18,Daljit,0.0,2026-09-07,2026
TAX-401-1929,,51.55,Gurmit,4979.24,2026-03-14,2026
TAX-401-5615,Sec-22/J-160,30.44,Raaj,4189.74,2026-02-26,2026
TAX-401-6732,22/L-161,69.34,Taranjit,25966.42,2026-02-06,2026
TAX-401-6484,S22/A-162,131.84,Rajindar,119378.17,2026-02-06,2026
TAX-401-4284,S22/J-163,66.39,Amreek,9401.16,2026-01-24,2026
TAX-401-6269,S22/M-164,44.45,Jagdeesh,20587.85,2026-06-23,2026
TAX-401-7199,Sec-22/N-165,30.06,Vickram,3753.4,2026-07-23,2026
TAX-401-7179,22/M-166,21.22,Sureesh,17296.53,2026-08-22,2026
TAX-401-4305,22/M-167,103.34,Jasvinder,9791.11,2026-03-18,2026
TAX-401-5617,22/H-168,114.59,Ranjit,22812.65,2026-06-20,2026
TAX-401-8983,Sec-22/D-169,20.85,Surindar,15557.16,2026-06-17,2026
TAX-401-3592,S22/U-170,225.47,Taranjit,13680.19,2026-05-09,2026
TAX-401-8023,Sec-22/R-171,102.56,Amaan,11807.55,2025-08-30,2026
TAX-401-3544,Sec-22/Q-172,174.27,Balweer,10694.94,2025-11-24,2026
TAX-401-5951,22/S-173,17.76,Rawinder,2400.29,2026-01-18,2026
TAX-401-2250,S22/B-174,19.11,Satindar,1074.38,2026-03-14,2026
TAX-401-3865,22/Q-175,47.02,Surindar,17423.81,2026-08-03,2026
TAX-401-2714,S22/G-176,78.73,Amaan,5330.36,2026-04-05,2026
TAX-401-9634,S22/F-177,220.43,Gurprith,13482.06,2026-09-15,2026
TAX-401-9701,Sec-22/L-178,96.76,Ranjit,12421.48,2026-04-06,2026
TAX-401-8414,22/S-179,45.4,Jasvinder,1872.59,2026-09-09,2026
TAX-401-1021,Sec-22/D-180,21.11,Mandip,2128.57,2026-05-15,2026
TAX-401-8472,S22/V-181,146.45,Dawinder,86471.18,2025-11-18,2026
TAX-401-6449,22/W-182,30.83,Navjoth,1748.38,2025-12-05,2026
TAX-401-2658,,222.0,Ravnit,15612.87,2026-05-03,2026
TAX-401-1909,22/G-184,52.03,Ashoke,2500.65,2026-03-31,2026
TAX-401-8965,S22/T-185,200.51,Manprith,99765.99,2026-01-02,2026
TAX-401-2959,Sec-22/L-186,83.71,Navjoth,10306.33,2026-03-26,2026
TAX-401-8674,Sec-22/T-187,45.21,Raaj,1218.63,2026-03-30,2026
TAX-401-8752,22/W-188,36.3,Mandip,5022.96,2026-04-15,2026
TAX-401-8513,22/A-189,42.12,Jasvinder,3602.6,2026-03-29,2026
TAX-401-9293,Sec-22/E-190,75.89,Gunbir Murugan,10850.58,2026-01-11,2026
TAX-401-9092,Sec-22/Q-191,53.76,Jagrati Murugan,46836.88,2025-08-29,2026
TAX-401-6959,22/V-192,21.75,Hemangini Murugan,2194.17,2026-04-02,2026
TAX-401-8512,S22/D-193,554.09,Aishani Murugan,20523.21,2025-09-16,2026
TAX-401-6476,22/N-194,1124.2,Caleb Murugan,149902.97,2025-09-18,2026
TAX-401-8409,S22/T-195,673.54,Tripti Murugan,75114.64,2026-04-15,2026
TAX-401-9210,S22/K-196,476.31,Jeet Murugan,79134.24,2026-03-31,2026
TAX-401-5455,Sec-22/G-197,296.02,Kritika Murugan,26273.45,2025-10-05,2026
TAX-401-3672,22/D-198,278.85,Gurmit,28888.87,2026-06-20,2026
TAX-401-8622,22/J-199,875.17,Ranjit,116559.89,2026-08-12,2026
TAX-401-6036,22/G-200,951.09,Baljit,137964.7,2026-04-21,2026
TAX-401-6647,22/H-201,133.71,Mohun,9504.78,2026-07-13,2026
TAX-401-5634,Sec-22/V-202,1579.06,Balweer,220827.9,2026-08-31,2026
TAX-401-4879,22/B-203,900.0,Ashoke,0.0,2026-01-16,2026
TAX-401-6429,Sec-22/R-204,1633.15,Amreek,239907.09,2025-08-27,2026
TAX-401-7349,22/R-205,156.2,Parkash,3717.79,2026-01-22,2026
TAX-401-3130,S22/V-206,166.16,Vickram,149500.91,2026-01-30,2026
TAX-401-9380,22/L-207,404.27,Amarjit,0.0,2026-06-05,2026
TAX-401-9735,S22/G-208,657.12,Preeti,43769.78,2025-10-22,2026
TAX-401-1878,Sec-22/D-209,1957.6,Sukhvinder,0.0,2026-04-04,2026
TAX-401-9778,S22/K-210,800.92,Ranjit,56437.63,2026-04-12,2026
TAX-401-5853,S22/U-211,380.61,Parmjit,54353.56,2026-02-16,2026
TAX-401-6015,22/G-212,232.2,Harjit,28857.62,2025-11-13,2026
TAX-401-2498,22/B-213,1201.09,Jagdeesh,93929.9,2026-05-25,2026
TAX-401-5775,Sec-22/P-214,247.94,Dawinder,9534.44,2025-12-15,2026
TAX-401-2707,Sec-22/L-215,1610.02,Ashoke,219855.2,2026-06-24,2026
TAX-401-8751,Sec-22/P-216,375.11,Mandip,136244.05,2026-07-02,2026
TAX-401-1423,Sec-22/N-217,1584.38,Gurprith,333786.72,2026-09-07,2026
TAX-401-9767,Sec-22/V-218,817.31,Vickram,92209.22,2026-05-27,2026
TAX-401-8292,S22/B-219,421.52,Jagdeesh,15622.52,2025-11-04,2026
TAX-401-6818,S22/R-220,242.76,Arjoon,25326.1,2025-11-17,2026
TAX-401-1015,Sec-22/R-221,349.58,Kiren,309311.45,2026-07-28,2026
TAX-401-3099,22/F-222,459.53,Rawinder,14125.82,2026-01-31,2026
TAX-401-5469,22/H-223,493.89,Sureesh,54891.43,2025-09-25,2026
TAX-401-7576,S22/K-224,292.85,Gurmit,14486.02,2025-10-24,2026
TAX-401-8806,22/K-225,68.81,Ashoke,26466.33,2026-06-18,2026
TAX-401-3762,22/P-226,139.98,Sandip,0.0,2025-08-31,2026
TAX-401-1771,22/G-227,83.51,Jagtaar,4001.53,2026-04-15,2026
TAX-401-8915,S22/B-228,58.38,Jasvinder,1814.95,2026-08-27,2026
TAX-401-9241,S22/F-229,37.31,Mandip,0.0,2026-07-22,2026
TAX-401-7027,S22/C-230,25.66,Narindar,1763.42,2026-07-07,2026
TAX-401-2253,22/E-231,114.6,Rawinder,15801.52,2026-07-13,2026
TAX-401-6755,22/H-232,115.8,Manjit,17342.22,2026-08-28,2026
TAX-401-2655,Sec-22/K-233,16.32,Vickram,0.0,2026-06-14,2026
TAX-401-5173,,200.09,Jagdeesh,0.0,2025-08-31,2026
TAX-401-6750,Sec-22/A-235,91.82,Surindar,5599.19,2026-08-24,2026
TAX-401-5567,S22/U-236,177.58,Parmjit,22323.09,2026-07-01,2026
TAX-401-6399,,19.88,Dawinder,1900.47,2025-10-15,2026
TAX-401-3212,22/D-238,20.71,Vickram,2789.52,2025-10-11,2026
TAX-401-6743,Sec-22/Q-239,52.13,Harjit,7055.89,2026-07-23,2026
TAX-401-2301,22/S-240,88.33,Jagdeesh,5882.05,2026-08-02,2026
TAX-401-8814,S22/P-241,240.41,Kuldip,7129.41,2026-09-15,2026
TAX-401-7807,Sec-22/B-242,99.72,Amaan,8995.54,2025-10-03,2026
TAX-401-5522,S22/T-243,48.49,Mandip,3502.72,2025-08-28,2026
TAX-401-4302,S22/H-244,24.82,Manprith,2867.11,2026-07-03,2026
TAX-401-2686,S22/S-245,155.0,Gurmit,8709.74,2025-08-27,2026
TAX-401-3537,22/E-246,27.26,Narindar,24200.67,2026-02-19,2026
TAX-401-9610,22/N-247,211.93,Parmjit,28948.13,2025-12-18,2026
TAX-401-4668,22/J-248,51.75,Dawinder,5560.22,2026-02-06,2026
TAX-401-8617,Sec-22/P-249,198.35,Jagtaar,179493.09,2026-03-26,2026
TAX-401-4939,22/J-250,102.06,Raajesh,0.0,2025-10-24,2026
TAX-401-2831,22/T-251,53.46,Simren,2099.13,2025-12-15,2026
TAX-401-9888,S22/M-252,38.19,Mohun,0.0,2026-03-09,2026
TAX-401-9238,22/G-253,45.42,Jagdeesh,5306.34,2026-05-29,2026
TAX-401-7328,22/R-254,78.15,Satindar,0.0,2025-09-21,2026
TAX-401-2204,S22/G-255,60.44,Mandip,8191.31,2026-07-26,2026
TAX-401-9332,22/N-256,36.59,Gurprith,5406.86,2026-01-21,2026
TAX-401-5891,,59.7,Sureesh,41037.82,2026-06-17,2026
TAX-401-1475,22/M-258,115.48,Raaj,10476.61,2026-02-09,2026
TAX-401-4972,S22/C-259,71.55,Parkash,42134.42,2026-07-11,2026
TAX-401-9640,S22/C-260,55.41,Ashoke,4439.38,2026-04-25,2026
TAX-401-9938,,24.79,Arjoon,1375.78,2026-04-17,2026
TAX-401-8763,Sec-22/V-262,19.74,Lakhweer,2073.16,2025-09-06,2026
TAX-401-8085,22/A-263,97.51,Kuldip,5082.43,2026-07-28,2026
TAX-401-9167,Sec-22/M-264,77.73,Balweer,2078.03,2026-08-20,2026
TAX-401-8608,S22/T-265,19.07,Taranjit,646.35,2026-04-20,2026
TAX-401-7141,Sec-22/E-266,181.85,Arjoon,26269.4,2026-04-28,2026
TAX-401-5175,22/S-267,84.64,Daljit,7876.62,2025-12-31,2026
TAX-401-4759,22/R-268,141.29,Ranjit,37830.86,2026-02-26,2026
TAX-401-8150,22/C-269,14.77,Harlin,2868.72,2026-07-30,2026
TAX-401-7147,,16.29,Raajesh,485.79,2026-07-02,2026
TAX-401-4465,Sec-22/S-271,37.65,Mandip,1131.69,2026-03-10,2026
TAX-401-1064,S22/T-272,52.66,Sukhvinder,5171.38,2026-05-27,2026
TAX-401-3146,Sec-22/V-273,177.68,Jagtaar,27159.58,2026-04-04,2026
TAX-401-3858,Sec-22/K-274,80.37,Satindar,12205.8,2025-12-01,2026
TAX-401-6112,Sec-22/B-275,41.98,Aneeta,1033.68,2026-05-22,2026
TAX-401-5960,Sec-22/D-276,23.06,Sukhprith,695.53,2025-10-23,2026
TAX-401-5664,22/K-277,186.3,Harprith,8037.22,2026-06-07,2026
TAX-401-1506,22/P-278,21.77,Sukhvinder,18710.52,2025-09-27,2026
TAX-401-1458,Sec-22/A-279,151.83,Kamaljit,0.0,2026-06-04,2026
TAX-401-4927,S22/P-280,37.15,Daljit,8626.22,2026-03-19,2026
TAX-401-4539,Sec-22/S-281,154.86,Parkash,5389.87,2025-08-27,2026
TAX-401-8018,S22/E-282,74.08,Raaj,61351.13,2026-08-18,2026
TAX-401-5363,S22/J-283,38.28,Aneeta,4647.63,2026-02-27,2026
TAX-401-5396,22/B-284,32.59,Raajesh,1786.41,2026-04-23,2026
TAX-401-7187,22/B-285,45.41,Balweer,0.0,2025-09-07,2026
TAX-401-8755,22/J-286,68.77,Harsimren,0.0,2026-09-17,2026
TAX-401-4629,,46.95,Nilam,10114.68,2025-10-23,2026
TAX-401-7640,S22/Q-288,29.93,Sureesh,4604.23,2026-08-19,2026
TAX-401-4173,Sec-22/C-289,384.99,Satindar,361655.61,2026-05-12,2026
TAX-401-1191,S22/C-290,706.29,Ashoke,95320.59,2025-08-31,2026
TAX-401-9051,22/U-291,443.76,Vickram,43995.76,2026-04-18,2026
TAX-401-8194,22/K-292,300.69,Raajesh,139829.84,2026-04-28,2026
TAX-401-8475,22/U-293,189.25,Surindar,22470.71,2025-10-26,2026
TAX-401-7611,22/S-294,135.36,Vickram,63985.35,2026-05-22,2026
TAX-401-8564,S22/F-295,479.53,Balweer,428330.67,2026-05-01,2026
TAX-401-8129,22/S-296,609.93,Ravnit,0.0,2025-11-02,2026
TAX-401-1977,Sec-22/T-297,95.44,Ranjit,66669.62,2026-06-21,2026
TAX-401-5860,S22/M-298,1040.68,Jagdeesh,34662.23,2026-02-04,2026
TAX-401-2268,S22/S-299,605.99,Jagdeesh,68847.75,2026-04-25,2026
TAX-401-5015,S22/D-300,926.23,Harlin,791546.75,2026-03-01,2026
TAX-401-9463,22/W-301,108.8,Harprith,7912.1,2025-11-15,2026
TAX-401-1067,Sec-22/U-302,106.46,Raaj,4749.73,2026-02-21,2026
TAX-401-6815,Sec-22/W-303,264.46,Manjit,25738.88,2026-09-20,2026
TAX-401-7312,Sec-22/V-304,473.37,Parmjit,35059.36,2026-07-20,2026
TAX-401-5420,Sec-22/S-305,1265.17,Sandip,172243.56,2026-02-22,2026
TAX-401-1175,22/H-306,541.21,Gurdip,72477.28,2026-04-02,2026
TAX-401-9192,22/E-307,251.28,Harsimren,25381.6,2026-01-06,2026
TAX-401-3189,Sec-22/R-308,137.53,Parkash,3322.3,2025-11-22,2026
TAX-401-4680,S22/W-309,799.6,Gurmit,77488.32,2026-03-28,2026
TAX-401-9080,S22/W-310,155.74,Harsimren,112538.1,2025-09-09,2026
TAX-401-5501,22/F-311,1117.39,Harprith,50846.87,2025-10-21,2026
TAX-401-3477,Sec-22/N-312,257.97,Baljit,0.0,2026-08-05,2026
TAX-401-7915,22/Q-313,1084.81,Jasvinder,1066514.11,2026-06-05,2026
TAX-401-5627,S22/J-314,526.64,Gurmit,51353.85,2026-02-04,2026
TAX-401-1835,22/J-315,269.44,Jagdeesh,113489.05,2026-04-02,2026
TAX-401-7136,S22/G-316,201.06,Preeti,143825.03,2026-02-11,2026
TAX-401-6054,Sec-22/U-317,222.53,Sukhvinder,213604.85,2026-01-15,2026
TAX-401-7856,22/H-318,437.22,Harjit,318264.75,2025-10-10,2026
TAX-401-7550,22/D-319,270.21,Amandip,16937.97,2026-08-07,2026
TAX-401-6268,Sec-22/R-320,190.71,Vickram,0.0,2026-03-30,2026
TAX-401-6160,S22/W-321,199.93,Sukhvinder,13859.67,2025-11-29,2026
TAX-401-5187,,392.93,Arjoon,26131.38,2026-03-06,2026
TAX-401-6449,22/K-323,237.9,Karun,13833.72,2025-12-12,2026
TAX-401-1156,S22/W-324,190.9,Sureesh,36261.56,2026-05-28,2026
TAX-401-8713,22/A-325,95.75,Gurmit,3092.32,2026-05-06,2026
TAX-401-9575,Sec-22/L-326,63.41,Sukhvinder,5451.63,2025-09-01,2026
TAX-401-9160,S22/G-327,322.42,Gurprith,0.0,2026-07-12,2026
TAX-401-5054,22/B-328,327.6,Gurprith,21557.26,2026-03-18,2026
TAX-401-1064,S22/L-329,44.7,Kuldip,4233.01,2025-11-13,2026
TAX-401-6723,22/H-330,561.06,Satindar,18757.56,2026-01-19,2026
TAX-401-8676,Sec-22/P-331,255.95,Karun,27546.41,2026-07-21,2026
TAX-401-3178,Sec-22/M-332,479.55,Jasvinder,34945.3,2025-10-22,2026
TAX-401-8318,S22/K-333,55.5,Gurmit,7896.94,2026-09-19,2026
TAX-401-9255,S22/C-334,56.87,Ranjit,16336.34,2025-09-22,2026
TAX-401-3014,22/W-335,141.28,Raaj,15224.06,2026-01-29,2026
TAX-401-6323,S22/R-336,244.8,Jagdeesh,16503.72,2025-09-10,2026
TAX-401-6479,Sec-22/D-337,648.61,Sureesh,314708.86,2026-07-04,2026
TAX-401-7633,S22/D-338,293.55,Vickram,45612.83,2025-09-23,2026
TAX-401-8978,22/L-339,134.54,Gurmit,15262.42,2025-11-15,2026
TAX-401-1159,Sec-22/L-340,84.35,Jagdeesh,6839.68,2026-09-09,2026
TAX-401-6671,S22/P-341,421.7,Parmjit,17464.83,2025-08-18,2026
TAX-401-3183,Sec-22/E-342,78.73,Jasvinder,65185.4,2026-03-20,2026
TAX-401-2647,Sec-22/D-343,567.22,Ashoke,234611.75,2026-05-26,2026
TAX-401-2445,,136.12,Jasmine,0.0,2026-04-27,2026
TAX-401-8724,22/W-345,570.47,Surindar,17012.71,2026-08-22,2026
TAX-401-2274,Sec-22/K-346,270.63,Sureesh,31705.67,2026-07-30,2026
TAX-401-2272,,141.12,Daljit,19842.8,2026-03-06,2026
TAX-401-1170,S22/H-348,109.2,Jasvinder,5656.65,2025-12-22,2026
TAX-401-9170,S22/D-349,125.61,Mohun,0.0,2026-04-30,2026
TAX-401-5634,22/U-350,227.2,Lakhweer,32569.57,2025-12-16,2026
